patient_id,nearest_gene_name,chrom,last_tp_abundance,growth_rate,n_timepoints,label_raw,label,dist_to_nearest_tss,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,replication_timing,patient_id_enc,ext_n_patients,ext_n_datasets,ext_n_unique_sites,ext_max_abundance,ext_log_unique_sites,ext_log_n_patients,chrom_int
P11,PLA2G2C,chr1,0.0,0.0,1,0.0,0.1302372881355932,26690,1582362.0,25265,0,1,0,0.73,39,3,33,0,0.0,130.0,0,,63.14592962962963,2,43.0,2.0,128.0,0.0,4.859812404361672,3.784189633918261,0
P11,EIF4G3,chr1,67.0,-0.15577984778766082,11,4.219507705176107,0.6229830508474576,194478,2351961.0,370993,0,1,0,0.95,322,3,262,11,0.0,208.0,0,,66.63709166666666,2,59.0,2.0,2905.0,0.0,7.974532844130228,4.0943445622221,0
P11,ECE1,chr1,102.0,0.1538055638765147,21,4.634728988229636,0.7615593220338983,82521,2632205.0,128325,0,3,0,0.9067,256,5,242,2,0.0,312.0,0,,65.41856615384616,2,58.0,2.0,4015.0,0.0,8.298041661371565,4.07753744390572,0
P11,NBPF3,chr1,102.0,-0.11881811747086808,6,4.634728988229636,0.7615593220338983,47208,2762045.0,44906,1,2,0,0.84,35,1,24,1,0.0,113.0,0,,71.01116304347828,2,58.0,2.0,2377.0,0.0,7.774015077250727,4.07753744390572,0
P11,ALPL,chr1,0.0,0.18138521587388784,2,0.0,0.1302372881355932,33781,2844770.0,69013,1,1,0,0.96,102,4,86,1,0.0,631.0,0,,71.38439999999999,2,52.0,2.0,349.0,0.0,5.857933154483459,3.970291913552122,0
P11,RAP1GAP,chr1,0.0,0.0,1,0.0,0.1302372881355932,57926,2981074.0,73631,0,6,0,0.96,164,4,141,6,0.0,264.0,0,,72.43882533333333,2,35.0,2.0,82.0,0.0,4.418840607796598,3.58351893845611,0
P11,,chr1,0.0,0.0,1,0.0,0.1302372881355932,5930,593627.0,38327,1,2,0,0.925,74,1,66,0,0.0,0.0,0,,70.98509,2,0.0,0.0,0.0,0.0,0.0,0.0,0
P11,ZBTB40,chr1,220.0,0.1725000092483133,7,5.3981627015177525,0.9379661016949152,124433,3673559.0,102319,1,1,0,0.91,119,1,98,2,0.0,89.0,0,,78.22567378640777,2,57.0,2.0,768.0,0.0,6.645090969505644,4.060443010546419,0
P11,RPL11,chr1,117.0,0.17588719802366756,7,4.770684624465665,0.8017627118644067,65613,3067164.0,5150,0,1,0,0.79,13,2,11,0,0.0,135.0,0,,77.5638,2,56.0,2.0,1085.0,0.0,6.990256500493881,4.04305126783455,0
P11,CNR2,chr1,0.0,0.0,1,0.0,0.1302372881355932,14720,2794594.0,42847,1,1,0,1.05,51,3,46,0,0.0,574.0,0,,75.62198604651162,2,21.0,2.0,30.0,0.0,3.4339872044851463,3.091042453358316,0
P11,MYOM3,chr1,69.0,0.07885791548434164,5,4.248495242049359,0.6328135593220339,63954,2645000.0,56155,1,0,74860,,70,1,62,3,0.0,55.0,0,,75.67335263157895,2,52.0,2.0,248.0,0.0,5.517452896464707,3.970291913552122,0
P11,IL22RA1,chr1,0.0,0.0,1,0.0,0.1302372881355932,678,2549393.0,23394,0,0,43885,,32,1,29,0,0.0,260.0,0,,75.93711666666667,2,38.0,1.0,98.0,0.0,4.59511985013459,3.6635616461296463,0
P11,IFNLR1,chr1,72.0,0.11956321171474757,5,4.290459441148391,0.6484745762711864,20066,2525343.0,33791,1,1,0,0.89,36,1,31,1,0.0,169.0,0,,75.82788000000001,2,50.0,1.0,255.0,0.0,5.545177444479562,3.9318256327243257,0
P11,GRHL3,chr1,78.0,0.14267383680358744,7,4.3694478524670215,0.6752542372881356,5028,2498706.0,164924,0,1,0,0.81,207,10,161,13,0.0,284.0,0,,73.96408181818181,2,56.0,2.0,734.0,0.0,6.5998704992128365,4.04305126783455,0
P11,CLIC4,chr1,39.0,0.18357036250023068,3,3.6888794541139363,0.47315254237288135,39334,1987228.0,98979,1,1,0,0.98,102,0,89,1,0.0,310.0,0,,62.96151,2,57.0,2.0,1006.0,0.0,6.914730892718563,4.060443010546419,0
P11,SYF2,chr1,166.0,0.06532398534642528,17,5.117993812416755,0.879593220338983,133272,1594004.0,10228,0,1,0,0.79,7,1,3,0,0.0,74.0,0,,65.27458333333334,2,58.0,2.0,2186.0,0.0,7.690286020676768,4.07753744390572,0
P11,RHD,chr1,205.0,0.25142750194781444,3,5.327876168789581,0.9233898305084746,10044,1430887.0,58052,1,0,4397,,45,1,30,4,0.0,494.0,0,,64.49576101694915,2,44.0,2.0,177.0,0.0,5.181783550292085,3.8066624897703196,0
P11,LDLRAP1,chr1,16.0,0.0,1,2.833213344056216,0.32949152542372884,51954,1201617.0,47627,0,1,0,0.84,102,1,98,1,0.0,147.0,0,,79.09320000000001,2,44.0,2.0,202.0,0.0,5.313205979041787,3.8066624897703196,0
P11,SELENON,chr1,202.0,0.16648702203945953,8,5.313205979041787,0.9200677966101695,74311,967354.0,18028,0,1,0,0.84,36,1,32,0,0.0,579.0,0,,81.26539473684208,2,56.0,2.0,2306.0,0.0,7.7437032581737535,4.04305126783455,0
P11,SH3BGRL3,chr1,8.0,0.14898928049801533,2,2.1972245773362196,0.27159322033898303,14984,428163.0,1465,1,1,0,0.93,6,1,5,0,0.0,71.0,0,,80.42686666666667,2,42.0,2.0,146.0,0.0,4.990432586778736,3.7612001156935624,0
P11,CD52,chr1,0.0,0.0,1,0.0,0.1302372881355932,18372,393650.0,2565,0,0,11160,,7,3,4,0,0.0,336.0,0,,80.2716,2,38.0,2.0,124.0,0.0,4.8283137373023015,3.6635616461296463,0
P11,DHDDS,chr1,109.0,0.16672655220090213,4,4.700480365792417,0.7818305084745762,7767,253187.0,39040,1,1,0,0.84,29,2,23,0,0.0,457.0,0,,80.9679275,2,58.0,2.0,698.0,0.0,6.54965074223381,4.07753744390572,0
P11,RPS6KA1,chr1,62.0,0.15579534698356717,3,4.143134726391533,0.5970847457627119,6770,156710.0,45274,1,1,0,1.05,68,5,61,0,0.0,302.0,0,,80.08475652173912,2,58.0,2.0,1095.0,0.0,6.999422467507961,4.07753744390572,0
P11,ARID1A,chr1,75.0,0.21101061122629394,2,4.330733340286331,0.6624406779661017,79257,79257.0,88868,1,1,0,1.01,126,6,112,0,5.0,784.0,1,,77.85152444444445,2,57.0,2.0,699.0,0.0,6.551080335043404,4.060443010546419,0
P11,PIGV,chr1,31.0,0.12342199577946943,2,3.4657359027997265,0.42610169491525424,27622,66196.0,13605,1,1,0,0.83,25,6,17,0,0.0,125.0,0,,78.60542000000001,2,55.0,2.0,480.0,0.0,6.175867270105761,4.02535169073515,0
P11,GPN2,chr1,125.0,0.15851813810815119,2,4.836281906951478,0.8183728813559322,11376,185671.0,14151,1,1,0,0.99,14,1,13,0,0.0,19.0,0,,81.00327999999999,2,43.0,2.0,128.0,0.0,4.859812404361672,3.784189633918261,0
P11,NR0B2,chr1,35.0,-0.33378873413992005,4,3.58351893845611,0.4496271186440678,351,221090.0,2486,0,0,7582,,6,1,5,0,0.0,605.0,0,,81.207925,2,21.0,2.0,49.0,0.0,3.912023005428146,3.091042453358316,0
P11,TENT5B,chr1,110.0,-0.13818779242615412,19,4.709530201312334,0.7846779661016949,6054,313560.0,7830,0,2,0,0.875,21,2,19,0,0.0,87.0,0,,79.8238888888889,2,57.0,2.0,1850.0,0.0,7.523481312573497,4.060443010546419,0
P11,SLC9A1,chr1,116.0,0.16342820880633288,4,4.762173934797756,0.7993220338983051,76243,397502.0,68172,1,1,0,1.14,122,2,116,0,0.0,611.0,0,,80.49302173913043,2,57.0,2.0,556.0,0.0,6.322565239927284,4.060443010546419,0
P11,WDTC1,chr1,36.0,0.15379640977255826,2,3.6109179126442243,0.45545762711864407,32451,508089.0,74935,0,1,0,0.84,76,2,69,2,0.0,159.0,0,,80.41900789473685,2,56.0,2.0,372.0,0.0,5.921578419643816,4.04305126783455,0
P11,WASF2,chr1,0.0,0.0,1,0.0,0.1302372881355932,48682,748390.0,86082,1,1,0,0.9,118,2,114,0,0.0,139.0,0,,73.39968390804597,2,56.0,2.0,795.0,0.0,6.679599185844383,4.04305126783455,0
P11,AHDC1,chr1,135.0,-0.3704257667906365,7,4.912654885736052,0.8347118644067797,55763,855432.0,70396,0,5,0,0.796,162,2,158,0,0.0,94.0,0,,75.50442253521129,2,55.0,2.0,1126.0,0.0,7.027314514039777,4.02535169073515,0
P11,FAM76A,chr1,0.0,0.17649788102466313,3,0.0,0.1302372881355932,25572,1007153.0,37155,1,1,0,0.96,28,0,15,2,0.0,16.0,0,,80.28376052631579,2,52.0,2.0,280.0,0.0,5.638354669333745,3.970291913552122,0
P11,STX12,chr1,82.0,-0.13594756211662595,12,4.418840607796598,0.6911864406779661,23141,1056818.0,51248,0,1,0,0.79,46,2,38,1,0.0,39.0,0,,81.0608326923077,2,58.0,2.0,2455.0,0.0,7.806289289267033,4.07753744390572,0
P11,XKR8,chr1,0.0,0.16974723187341553,2,0.0,0.1302372881355932,10820,1255532.0,8505,1,1,0,0.79,18,4,14,0,0.0,171.0,0,,78.18079999999999,2,47.0,2.0,315.0,0.0,5.755742213586912,3.871201010907891,0
P11,EYA3,chr1,200.0,0.15130588375760842,6,5.303304908059076,0.9182372881355932,51999,1343496.0,118387,0,1,0,1.03,111,2,94,5,0.0,109.0,0,,76.36792999999999,2,58.0,2.0,1408.0,0.0,7.25063551189868,4.07753744390572,0
P11,SESN2,chr1,0.0,0.14169339655149207,2,0.0,0.1302372881355932,10415,1555822.0,23018,0,1,0,0.9,39,2,32,0,0.0,303.0,0,,79.143525,2,29.0,2.0,57.0,0.0,4.060443010546419,3.4011973816621555,0
P11,PHACTR4,chr1,194.0,-0.13011080694222543,16,5.272999558563747,0.9129491525423729,19846,1656481.0,130801,1,1,0,0.74,115,3,92,2,0.0,123.0,0,,78.23015725190841,2,59.0,2.0,3647.0,0.0,8.201934351194222,4.0943445622221,0
P11,YTHDF2,chr1,147.0,-0.03758362678381986,11,4.997212273764115,0.8522033898305085,30998,2012387.0,33163,1,1,0,0.97,47,4,30,1,0.0,469.0,0,,82.91417647058825,2,58.0,2.0,2091.0,0.0,7.645875825184813,4.07753744390572,0
P11,EPB41,chr1,66.0,0.15401913679599016,3,4.204692619390966,0.6185084745762712,33701,2160154.0,232955,0,2,0,0.895,211,2,179,1,0.0,591.0,0,,82.5303752136752,2,55.0,2.0,567.0,0.0,6.342121418721152,4.02535169073515,0
P11,PTPRU,chr1,190.0,0.1670260395353986,9,5.25227342804663,0.9086779661016949,2277,2540992.0,90308,0,3,0,0.87,134,2,92,10,0.0,446.0,0,,76.74101868131868,2,56.0,2.0,2601.0,0.0,7.86403565907245,4.04305126783455,0
P11,SERINC2,chr1,77.0,0.057566089578228515,6,4.356708826689592,0.6708474576271186,4082,837597.0,25115,0,1,0,0.91,49,3,41,0,0.0,84.0,0,,77.58260769230769,2,59.0,2.0,1380.0,0.0,7.2305631534092925,4.0943445622221,0
P11,TINAGL1,chr1,13.0,0.17456137226147142,4,2.6390573296152584,0.3086101694915254,83009,757768.0,11204,0,1,0,0.93,29,3,26,0,0.0,67.0,0,,77.9558076923077,2,49.0,2.0,312.0,0.0,5.746203190540153,3.912023005428146,0
P11,ADGRB2,chr1,41.0,0.14786560105447483,2,3.7376696182833684,0.4846101694915254,30045,516396.0,37776,0,2,0,0.785,79,3,76,0,0.0,80.0,0,,69.70778974358974,2,52.0,2.0,285.0,0.0,5.655991810819852,3.970291913552122,0
P11,ZBTB8A,chr1,92.0,0.0,1,4.532599493153256,0.728,35157,252741.0,66799,1,1,0,1.11,39,1,16,6,0.0,19.0,0,,79.02944411764706,2,56.0,2.0,611.0,0.0,6.416732282512326,4.04305126783455,0
P11,RNF19B,chr1,99.0,0.002527273689800843,5,4.605170185988092,0.7516610169491525,3569,710102.0,35879,0,1,0,1.2,60,2,56,1,0.0,89.0,0,,75.19604864864866,2,55.0,2.0,380.0,0.0,5.942799375126701,4.02535169073515,0
P11,AK2,chr1,112.0,-0.184408091963954,6,4.727387818712341,0.7900338983050847,57457,772295.0,73010,1,3,0,0.9067,99,4,84,0,0.0,115.0,0,,77.0634864864865,2,56.0,2.0,999.0,0.0,6.907755278982137,4.04305126783455,0
P11,AZIN2,chr1,58.0,0.0,1,4.07753744390572,0.5749830508474576,5362,835222.0,42388,0,1,0,0.73,47,2,40,2,0.0,115.0,0,,79.65609069767441,2,51.0,2.0,394.0,0.0,5.978885764901122,3.9512437185814275,0
P11,A3GALT2,chr1,60.0,0.15284619932305793,7,4.110873864173311,0.5859661016949153,32289,1037565.0,14332,0,1,0,0.98,32,1,9,4,0.0,29.0,0,,76.66913333333333,2,54.0,2.0,686.0,0.0,6.532334292222349,4.007333185232471,0
P11,NCDN,chr1,94.0,0.16497897570973302,4,4.553876891600541,0.7349830508474576,110513,253497.0,9818,1,1,0,0.78,27,2,25,0,0.0,94.0,0,,68.27036363636363,2,59.0,2.0,1363.0,0.0,7.218176838403408,4.0943445622221,0
P11,AGO4,chr1,171.0,0.16097749574912726,7,5.147494476813453,0.8863050847457628,18238,596332.0,49874,1,1,0,1.25,36,1,32,0,0.0,168.0,0,,72.08417450980392,2,59.0,2.0,1496.0,0.0,7.311218384419629,4.0943445622221,0
P11,AGO1,chr1,74.0,0.16885824417800746,7,4.31748811353631,0.6582372881355932,30574,644088.0,60724,1,2,0,0.705,55,2,46,3,0.0,175.0,0,,72.7335112903226,2,58.0,2.0,1013.0,0.0,6.921658184151129,4.07753744390572,0
P11,ADPRS,chr1,61.0,0.0,1,4.127134385045092,0.5915254237288136,529,394973.0,5054,0,1,0,1.03,12,1,11,0,,,0,,74.19703333333332,2,39.0,2.0,109.0,0.0,4.700480365792417,3.6888794541139363,0
P11,LSM10,chr1,243.0,0.14678633505684405,5,5.497168225293202,0.955457627118644,657,84720.0,6707,1,1,0,0.96,9,1,8,0,0.0,36.0,0,,75.7348375,2,53.0,2.0,608.0,0.0,6.411818267709897,3.9889840465642745,0
P11,CSF3R,chr1,175.0,0.1621981824301535,9,5.170483995038151,0.8930169491525424,9219,9219.0,17653,0,0,1139,,37,3,29,0,3.0,571.0,1,,75.67779999999999,2,55.0,2.0,1706.0,0.0,7.442492722794441,4.02535169073515,0
P11,HPCAL4,chr1,25.0,0.1743042256829945,2,3.258096538021482,0.39410169491525426,8769,3199394.0,12837,0,2,0,0.75,23,1,22,0,0.0,55.0,0,,75.38533076923078,2,44.0,1.0,149.0,0.0,5.0106352940962555,3.8066624897703196,0
P11,OXCT2,chr1,173.0,0.15870332451267716,2,5.159055299214529,0.8891525423728813,39244,3248782.0,1825,1,1,0,0.84,3,1,0,0,0.0,21.0,0,,72.1434,2,54.0,2.0,762.0,0.0,6.637258031284457,4.007333185232471,0
P11,BMP8B,chr1,105.0,0.17816283089423673,3,4.663439094112067,0.7708474576271186,8267,3297276.0,31683,0,2,0,0.96,37,2,17,3,0.0,201.0,0,,72.07404545454547,2,52.0,2.0,388.0,0.0,5.963579343618446,3.970291913552122,0
P11,MYCL,chr1,66.0,0.0,1,4.204692619390966,0.6185084745762712,9216,3409718.0,6828,0,1,0,0.91,18,1,17,0,0.0,259.0,0,,70.0825625,2,51.0,1.0,333.0,0.0,5.811140992976701,3.9512437185814275,0
P11,COL9A2,chr1,199.0,0.00508304721080628,4,5.298317366548036,0.9172881355932203,13129,3033124.0,17326,0,4,0,0.7525,41,1,39,0,0.0,266.0,0,,73.2572947368421,2,54.0,2.0,276.0,0.0,5.6240175061873385,4.007333185232471,0
P11,NFYC,chr1,91.0,0.0,1,4.5217885770490405,0.7246779661016949,9055,2655293.0,80036,0,1,0,0.92,106,5,97,0,0.0,82.0,0,,73.21843209876543,2,58.0,2.0,566.0,0.0,6.340359303727752,4.07753744390572,0
P11,SCMH1,chr1,55.0,0.15516148500099805,2,4.02535169073515,0.5599322033898305,88583,2184085.0,215104,0,1,0,0.9,157,2,109,7,0.0,221.0,0,,69.4592175925926,2,56.0,2.0,705.0,0.0,6.559615237493242,4.04305126783455,0
P11,FOXJ3,chr1,19.0,-0.3834047627148908,6,2.995732273553991,0.35233898305084743,85404,1087299.0,159378,0,1,0,0.91,145,4,124,0,0.0,140.0,0,,41.403288125,2,53.0,2.0,440.0,0.0,6.089044875446846,3.9889840465642745,0
P11,CCDC30,chr1,15.0,0.18085440159678398,2,2.772588722239781,0.32196610169491524,790,875377.0,193969,1,1,0,0.93,91,2,38,14,0.0,36.0,0,,47.12320769230769,2,53.0,2.0,281.0,0.0,5.641907070938114,3.9889840465642745,0
P11,PPIH,chr1,234.0,-0.2901796759966563,3,5.459585514144159,0.9493559322033899,33019,712642.0,18573,1,1,0,0.84,15,3,12,0,0.0,59.0,0,,47.759645,2,52.0,2.0,333.0,0.0,5.811140992976701,3.970291913552122,0
P11,CLDN19,chr1,182.0,-0.14765410021782152,8,5.209486152841421,0.9006101694915254,27517,625071.0,7161,1,1,0,0.67,15,1,12,0,0.0,155.0,0,,49.0533875,2,55.0,2.0,1029.0,0.0,6.937314081223682,4.02535169073515,0
P11,ZNF691,chr1,0.0,0.0,1,0.0,0.1302372881355932,38120,453115.0,5904,1,1,0,0.81,12,1,10,0,0.0,12.0,0,,55.35496666666666,2,33.0,2.0,51.0,0.0,3.9512437185814275,3.5263605246161616,0
P11,CFAP144,chr1,162.0,0.17211513434159303,2,5.093750200806762,0.8738305084745762,89558,282213.0,11243,1,1,0,0.84,10,2,5,1,0.0,32.0,0,,70.08678333333333,2,51.0,2.0,407.0,0.0,6.0112671744041615,3.9512437185814275,0
P11,ST3GAL3,chr1,94.0,0.16205892680037648,12,4.553876891600541,0.7349830508474576,24362,343654.0,225343,0,1,0,1.11,257,6,224,5,0.0,130.0,0,,65.81053539823009,2,58.0,2.0,1605.0,0.0,7.381501894506707,4.07753744390572,0
P11,ARTN,chr1,46.0,-0.44721304808821594,5,3.8501476017100584,0.5129491525423728,109697,485815.0,3924,1,2,0,0.755,12,7,5,0,0.0,468.0,0,,66.93744000000001,2,56.0,2.0,808.0,0.0,6.695798917058491,4.04305126783455,0
