nearest_gene_name,chrom,label,label_max,n_unique_patients,n_site_obs,dist_to_nearest_tss,in_gene_body,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,gtex_thymus_tpm,gtex_whole_blood_tpm,gtex_spleen_tpm,gtex_immune_mean_tpm
AAK1,chr2,3.4684261166065,5.123963979403259,8,19,30208,1,44361967.0,216352,1,1,0,0.92,248,4,229,1,,,0,0.0,1.2752566495274065,1.9405946180473137,1.7457004055395464
AAMDC,chr11,2.692226488509132,3.091042453358316,3,4,2256,1,8182213.0,97332,0,1,0,0.82,60,1,44,5,0.0,24.0,0,0.0,0.6534490334532098,1.945542938784731,1.5224955512446436
AAMP,chr2,4.262679877041316,4.262679877041316,1,1,3381,1,192930969.0,6053,1,1,0,0.89,17,2,12,0,,,0,0.0,3.361159801630619,4.604785111856564,4.3310214566715555
AANAT,chr17,3.008141925373659,4.499809670330265,6,6,5890,1,290536.0,17373,0,1,0,1.11,33,3,22,3,0.0,142.0,0,0.0,0.29414688047609067,0.7261660094171171,0.5188973594805888
AARD,chr8,3.7715973721457927,5.720311776607412,5,8,25346,0,,6280,1,1,0,0.85,5,1,2,0,,,0,0.0,0.013983178081157285,0.1600640186684614,0.1568329080063795
AARS1,chr16,3.323195257423865,4.248495242049359,2,2,3932,1,1556347.0,37724,1,2,0,0.945,42,3,26,0,0.0,317.0,0,0.0,0.0,,0.0
AARS2,chr6,7.228388451573604,7.228388451573604,1,1,1520,1,,14621,0,1,0,0.96,16,1,11,0,,,0,0.0,1.1920935242458515,2.6892342868445693,2.612888610257999
AARSD1,chr17,3.334600976798369,6.748759547491679,12,36,14784,0,220531.0,14067,1,1,0,1.07,7,1,2,0,0.0,10.0,0,0.0,2.1446111136629322,3.486197014228028,3.385912493995102
AASDH,chr4,3.537554964155031,5.552959584921617,13,42,32643,1,,49529,0,1,0,1.2,22,1,15,1,,,0,0.0,0.9324553771822784,2.258812917633323,2.155563496313425
AATF,chr17,3.463382235005799,8.53660358493606,16,195,3035,1,1830438.0,107949,0,1,0,1.0,89,3,66,3,0.0,139.0,0,0.0,3.3935112522358954,3.6888819541108115,3.9533735002675017
AATK,chr17,2.93722854075328,3.6375861597263857,3,4,18189,0,923560.0,55736,1,8,0,0.7812,117,7,109,0,0.0,98.0,0,0.0,3.652526624648138,3.265232554445378,3.0901737731345755
ABAT,chr16,3.646918736987729,4.007333185232471,3,3,45614,1,1463127.0,109979,0,1,0,0.89,128,6,96,1,0.0,284.0,0,0.0,1.4731209293667702,1.795308165151798,1.4882972462398207
ABCA1,chr9,3.728920407774094,4.941642422609304,2,4,42980,1,,147149,1,2,0,1.015,183,3,173,1,,,0,0.0,1.6639753389300442,2.5579789667883945,1.8697817782958235
ABCA12,chr2,3.68197482172928,4.804021044733257,4,4,70266,0,189866302.0,207084,1,0,121214,,119,3,68,12,,,0,0.0,0.003084198964970734,0.009458041381756425,0.1578902133337202
ABCA13,chr7,3.4835985755233483,6.343880434126331,12,83,305142,1,,476039,1,1,0,0.82,308,1,203,32,,,0,0.0,0.3569455073331559,0.14191353907347856,0.18100135237414586
ABCA2,chr9,3.828135567231497,5.58724865840025,6,8,16143,1,,21681,0,8,0,0.745,48,3,44,1,,,0,0.0,3.4900015950042644,3.6147457123974127,3.1743415873812526
ABCA3,chr16,3.448780899457762,6.175867270105761,16,388,28596,1,156461.0,64871,1,5,0,0.7,87,3,62,5,0.0,248.0,0,0.0,0.6828619686403716,1.997155799450764,1.4984910815916088
ABCA4,chr1,3.99641891012994,4.770684624465665,3,4,105006,1,1184152.0,128314,0,0,82923,,184,2,174,2,0.0,485.0,0,0.0,0.007408389985898854,0.15558736159131784,0.06676825218866818
ABCA7,chr19,3.30793177299941,5.556828061699537,12,43,7626,1,129935.0,25575,0,5,0,0.734,54,1,49,1,0.0,163.0,0,0.0,4.331125368696309,4.134081167920962,3.940852739374981
ABCA8,chr17,3.04277795176697,4.394449154672439,4,6,96927,0,346763.0,89418,1,0,264615,,63,1,46,3,0.0,148.0,0,0.0,0.057250087415575746,2.9634569850022023,1.9687825322814478
ABCA9,chr17,2.844395033281104,5.560681631015528,3,5,4600,1,544569.0,86461,1,0,265619,,55,1,38,5,0.0,72.0,0,0.0,0.05164342308534367,1.0794022857354182,0.637231852592035
ABCB1,chr7,3.542309879816726,5.407171771460119,9,21,41386,1,,210358,1,3,0,0.8833,134,4,95,1,,,0,0.0,0.7046705309945881,1.7487058197505554,1.1610118572100325
ABCB10,chr1,3.741267556481226,4.927253685157205,5,5,31742,0,11929100.0,42375,1,1,0,0.9,40,1,36,0,0.0,172.0,0,0.0,1.2513390981300583,2.448441469996484,2.559292876876021
ABCB11,chr2,3.4291098089976684,4.418840607796598,6,11,1495,1,143687239.0,115826,1,0,25003,,118,1,79,9,,,0,0.0,0.012758858492152577,0.025286387490671337,0.01475612424302151
ABCB4,chr7,3.3637851468732305,5.41164605185504,11,71,65113,1,,78739,0,1,0,0.95,61,2,36,7,,,0,0.0,0.17307392898715923,1.7806816696875363,1.3212253882065381
ABCB5,chr7,3.6030693532613456,5.293304824724492,8,20,62675,1,,161371,0,1,0,0.68,80,1,45,5,,,0,0.0,0.0036873533490353215,0.012055440287364046,0.0052603268556308345
ABCB7,chrX,3.8501476017100575,3.8501476017100575,1,1,169642,0,,105684,1,0,125739,,35,1,21,2,,,0,0.0,1.8335873576673483,2.9268215415506424,3.151662654487618
ABCB8,chr7,2.8903717578961645,2.8903717578961645,1,1,7010,1,,19360,0,2,0,0.72,34,3,25,0,,,0,0.0,1.63377534000252,2.673748569405189,2.3407116179981604
ABCB9,chr12,3.4421229304111707,5.902633333401366,17,281,5198,1,1580776.0,60698,0,4,0,0.7925,101,10,82,3,0.0,71.0,0,0.0,0.5043501027623473,1.6370122226013148,1.1342806526853126
ABCC1,chr16,3.531985383280362,7.061334366910438,15,176,98102,1,2127102.0,194119,1,1,0,1.19,256,1,231,1,0.0,594.0,0,0.0,1.9796391620375264,3.4104312843247615,3.3159774899132324
ABCC10,chr6,3.152479528496899,4.634728988229636,4,12,27847,0,,23064,1,1,0,0.71,25,2,20,0,,,0,0.0,1.6975202157773435,2.652734793764302,2.3941181484368386
ABCC11,chr16,3.1351835592505606,5.4638318050256105,11,48,42588,1,2451876.0,81795,0,1,0,0.85,70,3,43,5,0.0,336.0,0,0.0,0.02772031714652975,0.058306926269201455,0.036819595596870015
ABCC12,chr16,2.5619819897016294,2.6390573296152584,1,2,62937,1,2648951.0,75136,1,0,88403,,78,1,55,3,0.0,60.0,0,0.0,0.0,0.0,0.005629524450612978
ABCC4,chr13,3.353396534814261,5.075173815233827,10,47,292530,0,7836539.0,281987,0,1,0,0.98,301,2,273,9,0.0,309.0,0,0.0,0.7430700363253109,1.4103526262129615,2.180793282927792
ABCC5,chr3,3.372441718893521,5.0369526024136295,7,11,3540,0,,98005,1,1,0,0.78,102,3,89,3,,,0,0.0,1.7009810056691812,3.4790715859847565,2.6477846120480213
ABCC6,chr16,3.4378265591785144,6.152732694704104,15,194,133633,1,2169866.0,74072,1,1,0,0.96,79,1,39,16,0.0,323.0,0,0.0,0.3970000470288855,0.45778554147448663,0.3325385574592654
ABCC9,chr12,5.04688863948963,5.529429087511423,2,2,80119,1,762651.0,145154,0,1,0,0.88,111,4,82,6,0.0,430.0,0,0.0,0.015978953816142238,1.0237630161781492,0.47810956222256973
ABCD1,chrX,3.7253166033387526,6.946013991099227,11,26,989,1,,20260,0,1,0,0.76,43,3,40,0,,,0,0.0,2.513226821165287,3.102845252750191,2.599787205717477
ABCD3,chr1,3.259108999805418,4.624972813284271,4,6,58042,0,1528210.0,100424,0,1,0,1.0,75,2,50,6,0.0,151.0,0,0.0,0.8953571452845414,2.2756434031244073,2.1051860398689115
ABCD4,chr14,2.820915334437643,3.091042453358316,4,5,28975,0,9171385.0,17786,1,1,0,0.87,21,2,18,0,0.0,65.0,0,0.0,1.9606946041192375,3.661426033999225,3.0667460349999165
ABCF1,chr6,3.455040036997701,5.476463551931511,14,82,1457,0,,25786,0,1,0,0.96,24,2,18,2,,,0,0.0,2.6291657113241884,3.8996507841645864,3.891429065126397
ABCF3,chr3,3.78015991473677,7.25063551189868,5,13,6437,1,,7918,1,1,0,0.79,12,2,9,0,,,0,0.0,2.9768552177843017,4.007687667850629,3.6600366371604083
ABCG1,chr21,2.4849066497880004,2.4849066497880004,1,1,16143,1,891773.0,104700,1,2,0,0.945,192,5,174,1,0.0,421.0,0,0.0,2.1754401208465755,3.6209672484972257,2.807157002991117
ABCG2,chr4,3.074402791031721,4.919980925828125,8,11,110734,1,,141668,0,1,0,0.91,122,3,101,2,,,0,0.0,0.24237974370662113,0.5106662110604605,0.28769257239665635
ABCG4,chr11,3.5440045808676754,5.579729825986222,13,83,8959,0,66205.0,13601,1,1,0,0.78,19,3,3,3,0.0,49.0,0,0.0,0.01089641782518339,0.1507517672054365,0.06700154789530667
ABCG5,chr2,2.772588722239781,2.772588722239781,1,1,39176,1,18535451.0,26393,0,1,0,0.77,22,1,17,2,,,0,0.0,0.009069665953924182,0.16783547160854909,0.06465236778179603
ABCG8,chr2,3.4633341934530564,5.480638923341991,8,15,15533,1,18473819.0,51046,1,1,0,0.77,46,1,34,1,,,0,0.0,0.0,0.07474952345852447,0.025542397762117544
ABHD1,chr2,6.042632833682381,6.042632833682381,1,1,2346,1,1783545.0,7023,1,1,0,0.81,12,1,9,0,0.0,30.0,0,0.0,0.23723184363719127,0.6930256731782224,0.3938388959723271
ABHD10,chr3,3.52293246457042,5.003946305945459,5,8,51085,1,,14396,0,1,0,0.96,12,1,11,0,,,0,0.0,1.7071198229149112,3.2303378837716332,3.056795387454013
ABHD11,chr7,4.125507278652654,5.541263545158426,5,5,11179,0,,2772,1,1,0,0.86,8,2,6,0,,,0,0.0,2.128490005820291,3.046667753933744,2.630597118933745
ABHD12,chr20,3.552957281823775,4.718498871295094,7,10,69556,1,12023363.0,96124,0,1,0,0.96,142,4,132,0,0.0,155.0,0,0.0,2.1550822671382517,3.2073617920701487,3.110024779950474
ABHD12B,chr14,3.629501838974681,6.411818267709897,10,25,18741,1,5754885.0,32917,1,1,0,0.91,25,1,23,0,0.0,46.0,0,0.0,0.31130240303615697,0.1655924015400698,0.1670088015866211
ABHD13,chr13,3.134734180806745,4.276666119016055,5,7,129099,0,5243237.0,16076,0,1,0,0.87,17,2,14,0,0.0,37.0,0,0.0,1.701701638324592,2.2705173760564996,2.1769152883753597
ABHD14A,chr3,2.4414009612931853,3.49650756146648,2,2,1870,1,,9771,0,2,0,0.855,17,3,13,0,,,0,0.0,1.915524576561986,2.906731646590656,2.5320102072504502
ABHD14B,chr3,3.3849392640944416,4.007333185232471,4,4,2825,1,,14899,0,3,0,0.8567,31,5,25,0,,,0,0.0,3.0985595833534614,4.021372355099435,3.912662134474991
ABHD15,chr17,4.023406886143468,5.823045895483019,11,32,3028,1,1524862.0,6490,1,1,0,0.85,14,2,12,0,0.0,12.0,0,0.0,1.7358502747885383,2.894502105144925,2.387011409369532
ABHD16A,chr6,3.5042193620058044,4.990432586778736,9,23,9452,1,,16402,0,1,0,0.76,33,4,28,0,,,0,0.0,3.875705434077681,3.9257444345652837,3.6958964440218303
ABHD17A,chr19,3.25580344241304,5.5053315359323625,13,68,864,0,708924.0,8808,1,2,0,0.87,22,2,20,0,0.0,30.0,0,0.0,4.4616023102279705,4.604788113007505,4.3729589808134
ABHD17C,chr15,4.184578556294417,4.584967478670572,2,2,28651,0,7605960.0,75937,0,1,0,0.94,84,2,73,1,0.0,55.0,0,0.0,0.5699569900546588,2.2614109531445683,1.6023918806850517
ABHD2,chr15,3.64943465114687,4.990432586778736,5,7,42948,0,199343.0,114896,1,1,0,0.77,192,3,186,0,0.0,190.0,0,0.0,3.311491468577662,3.00426575957223,3.0875317525991113
ABHD3,chr18,3.123678850046443,4.02535169073515,7,15,27836,1,23003201.0,53910,1,1,0,1.02,50,3,43,1,0.0,39.0,0,0.0,2.585852434847288,3.3715007699253188,3.148982548138085
ABHD4,chr14,3.185839840396154,5.198497031265826,7,10,3869,0,2261066.0,14714,1,1,0,0.81,18,2,16,0,0.0,60.0,0,0.0,3.2454593315178877,3.318695820150354,3.2237771271715254
ABHD5,chr3,3.5256574788653894,6.61338421837956,7,33,104610,1,,44263,0,1,0,1.01,50,2,45,0,,,0,0.0,4.070080899286337,2.4476633136688504,3.266653285950727
ABHD6,chr3,2.623512036080243,2.9444389791664403,2,2,631,1,,58177,0,1,0,0.92,67,2,59,0,,,0,0.0,1.0077389183185836,3.3278270860761077,2.624375312445891
ABHD8,chr19,3.670022670284472,4.836281906951478,3,3,5196,1,532639.0,18105,1,6,0,0.7733,40,5,34,0,0.0,44.0,0,0.0,2.2058748335354528,2.906933846195143,2.586171037757404
ABI1,chr10,3.565715227969542,5.332718793265369,9,14,78190,1,78190.0,115152,1,1,0,0.89,98,2,90,1,3.0,198.0,1,0.0,3.5538641038258256,3.68831679585146,3.856662503786768
ABI2,chr2,3.54074540177148,5.247024072160486,8,16,4846,1,177990508.0,119476,0,1,0,1.08,96,4,74,6,,,0,0.0,0.4624797708756819,2.160860225340995,1.9555019526561104
ABI3,chr17,3.3557369636728795,3.951243718581428,2,4,37380,1,505170.0,12814,1,1,0,0.72,24,1,22,0,0.0,96.0,0,0.0,3.5141509966390756,4.513358579034429,4.217833264867371
ABI3BP,chr3,3.4933820877245005,6.481577129276431,15,75,56791,0,,244360,0,0,39330,,187,1,131,12,,,0,0.0,0.04824601614774704,1.2476240726737002,0.6381438193955673
ABL1,chr9,3.4684702043224456,4.672828834461906,4,6,3310,0,,174632,1,4,0,0.84,244,3,233,0,,,0,0.0,1.6208604264204338,3.5508866958093037,3.171131873227534
ABL2,chr1,4.105658837592508,6.6293632534374485,7,13,54232,1,13940280.0,130354,0,1,0,1.03,131,4,107,4,0.0,424.0,0,0.0,0.8448548787360636,1.6465833968659302,1.3589676991320008
ABLIM1,chr10,3.659335996110854,5.225746673713202,4,8,44923,1,1772933.0,336951,0,2,0,0.915,414,7,397,2,0.0,116.0,0,0.0,1.8274643938488315,2.7520862250918214,2.670507545888506
ABLIM2,chr4,2.141054208389266,2.9444389791664403,5,6,59997,1,,193522,0,4,0,0.7475,339,6,308,4,,,0,0.0,0.17187720393200648,3.4204377594224162,2.3963424010502306
ABLIM3,chr5,4.290459441148391,4.290459441148391,1,1,35660,1,,119059,1,1,0,0.8,154,3,142,3,,,0,0.0,1.172903101248359,2.462626957096919,1.6777759375559653
ABR,chr17,3.306997296577979,7.147559271189454,10,19,18731,0,4033790.0,226219,1,15,0,0.8467,391,8,365,3,0.0,132.0,0,0.0,3.0991774561319203,3.7167572325759064,3.494294002239827
ABRA,chr8,3.369671853162964,5.746203190540153,12,59,174623,1,,10761,0,0,101120,,13,1,12,0,,,0,0.0,0.025932136745729115,0.11104930377529458,0.061045270586236426
ABRACL,chr6,3.3320173436077547,3.8501476017100575,3,4,15045,0,,16248,0,1,0,0.91,20,1,18,0,,,0,0.0,3.288357110394928,4.3436092987266965,4.41808811591024
ABRAXAS2,chr10,2.992350123496535,5.3230099791384085,3,4,6339,1,3209686.0,34865,0,1,0,0.81,24,1,17,2,0.0,84.0,0,0.0,0.0,,0.0
ABT1,chr6,2.381086967398878,2.5649493574615367,2,2,29297,0,,3786,1,3,0,0.9067,8,1,6,0,,,0,0.0,2.5485385100327735,3.356053561492877,3.305867868337606
ABTB1,chr3,3.0915649557187046,4.110873864173311,7,12,869,1,,8020,0,1,0,0.93,22,3,17,0,,,0,0.0,5.784403476623816,5.0850993933054,5.110826029438561
ABTB2,chr11,3.3841212480701146,4.430816798843313,4,11,123242,1,1799204.0,207023,0,2,0,0.78,321,2,294,7,0.0,64.0,0,0.0,0.5250000896921578,0.9912980138132983,1.4408976755086738
ABTB3,chr12,3.4314464273905023,5.541263545158426,12,68,41992,1,4044587.0,341221,0,2,0,0.9,470,4,343,34,0.0,64.0,0,0.0,0.0,,0.0
ACAA1,chr3,2.580766345647025,3.828641396489095,7,7,45104,1,,34518,1,1,0,0.82,59,3,50,1,,,0,0.0,4.367591700502556,4.335030672461049,4.219320923027524
ACACB,chr12,3.6232408211964615,5.594711379601839,8,25,6110,1,2294523.0,151639,0,1,0,1.11,166,1,142,3,0.0,195.0,0,0.0,0.7713204496137902,2.6729272141228737,1.8099093153115309
ACAD10,chr12,1.9459101490553128,1.9459101490553128,1,1,19122,1,61728.0,71088,1,1,0,0.92,56,2,46,1,0.0,85.0,0,0.0,1.8295753499122802,2.7596491154498892,2.5196874999526186
ACAD9,chr3,3.390465078808383,6.450470422144176,14,104,50474,0,,44407,1,1,0,0.94,43,2,36,2,,,0,0.0,1.9453900138084257,3.237434541573386,3.0673652568766507
ACADS,chr12,3.1029666396273177,3.555348061489413,3,4,33181,0,219588.0,14235,0,2,0,0.86,27,1,17,2,0.0,152.0,0,0.0,2.4401358969512414,4.034070712211376,3.494162389456594
ACADVL,chr17,3.4547078697272355,6.376726947898627,9,22,4711,1,475132.0,8144,0,1,0,0.8,24,5,19,0,,,0,0.0,4.744105700008869,6.0735144697463,5.533701692951136
ACAP2,chr3,3.239837731030516,6.677083461247136,9,23,52165,1,,168353,0,1,0,0.96,103,1,81,4,,,0,0.0,2.9275390822376037,3.046297052638698,3.1570316263369853
ACAP3,chr1,3.486927588874343,4.919980925828125,10,15,3324,1,1241311.0,17233,0,3,0,0.76,42,3,39,0,0.0,43.0,0,0.0,2.8820931400629366,4.00537126191893,3.4670621063362628
ACAT1,chr11,3.497312157936156,5.877735781779639,15,80,39587,1,145696.0,32262,1,1,0,0.89,32,2,28,0,0.0,363.0,0,0.0,1.419796833173892,3.013473955030148,3.059745344166611
ACBD3,chr1,3.8400242582142217,6.137727054086234,11,26,44576,0,15377613.0,42083,1,1,0,0.8,35,1,33,0,0.0,79.0,0,0.0,1.8922727560305612,3.098731002387709,3.1543178190963608
ACBD4,chr17,4.078423424428805,5.231108616854587,6,8,11921,1,1950434.0,11581,0,1,0,0.87,25,3,21,0,0.0,51.0,0,0.0,1.6969834800518404,3.0702226725732364,2.5919197990942497
ACBD5,chr10,3.50759290015734,4.875197323201151,12,21,58106,0,440058.0,74911,1,2,0,1.0,47,5,36,1,0.0,111.0,0,0.0,1.731947537922543,2.6313203332434805,2.620943061951773
ACBD6,chr1,3.454793996281178,5.236441962829949,10,20,57780,1,12670558.0,233301,1,1,0,0.87,153,3,98,10,0.0,55.0,0,0.0,1.8447550638799988,2.8581125350208616,2.769227872572867
ACD,chr16,3.610726401535586,6.736966958001855,10,22,5796,1,93183.0,3298,0,1,0,0.85,11,2,9,0,0.0,166.0,0,0.0,2.6566446197089553,3.5011362265884878,3.347805981356154
ACE2,chrX,5.293304824724492,5.293304824724492,1,1,19796,1,,112670,0,0,1004,,85,8,70,2,,,0,0.0,0.0197353701325066,0.03176723564276297,0.02322591149372932
ACER1,chr19,2.908203839727101,3.737669618283368,7,9,9661,0,2219057.0,27470,1,0,25795,,14,1,2,2,0.0,122.0,0,0.0,0.1786280776229565,0.4898362806009926,0.25459247553435904
ACER2,chr9,3.501584517013205,4.820281565605037,7,9,9316,1,,43496,1,1,0,0.83,40,1,36,1,,,0,0.0,0.10350198966782989,0.8672349324267964,1.0372483380599296
ACIN1,chr14,3.1354942159291497,3.1354942159291497,1,1,216,1,2762084.0,37053,0,1,0,1.09,56,2,42,0,0.0,74.0,0,0.0,3.9103455993688896,4.586053623295762,4.3398712863546205
ACLY,chr17,3.459089036032762,4.718498871295094,1,5,31694,1,389782.0,63629,0,2,0,0.885,81,3,69,0,0.0,561.0,0,0.0,2.910321433203785,3.879683681115462,4.164945917183424
ACO1,chr9,3.492932839595772,5.971261839790462,15,119,37015,0,,70166,0,1,0,1.04,61,1,57,0,,,0,0.0,0.7827364818455468,2.312707686236919,1.928691808183998
ACO2,chr22,3.29358710811757,4.343805421853684,4,4,126,1,356140.0,81443,0,2,0,0.81,123,3,111,0,0.0,295.0,0,0.0,2.90098193700818,3.765502475164749,4.111389578164523
ACOT1,chr14,3.6285193048704016,4.770684624465665,7,9,853,1,8435301.0,6653,0,1,0,1.06,12,3,8,0,0.0,114.0,0,0.0,0.2902420429294613,1.2783805886743471,1.1018305489530902
ACOT11,chr1,3.4760850848463747,6.2422232654551655,13,81,33874,0,2988996.0,96935,1,1,0,0.71,140,2,128,0,0.0,85.0,0,0.0,0.10654681173031254,0.2186269668854722,0.14438947965918317
ACOT12,chr5,3.445269983835186,5.68697535633982,11,38,32003,1,,64329,1,1,0,0.9,45,1,27,2,,,0,0.0,0.0,0.040586414773525495,0.01371265038530725
ACOT13,chr6,2.12424762102468,2.302585092994046,2,2,1900,1,,38144,1,1,0,0.86,36,2,26,0,,,0,0.0,1.4393421155419637,2.106766053636248,2.2250353586120464
ACOT2,chr14,3.410695109248437,4.584967478670572,9,18,7881,1,8472806.0,8038,0,1,0,1.07,14,1,13,0,0.0,90.0,0,0.0,0.9540565410138362,2.4492017489172233,2.337544174177116
ACOT4,chr14,3.136910484026025,4.787491742782046,5,6,2540,0,8486638.0,3893,1,1,0,0.97,8,2,4,0,0.0,41.0,0,0.0,0.24984390314416605,0.9500426723586403,0.9470093790348136
ACOT6,chr14,3.776272838749153,4.718498871295094,4,4,10353,0,8518603.0,8943,0,1,0,1.1,9,1,6,1,0.0,20.0,0,0.0,0.0,0.0,0.0
ACOT7,chr1,2.856306616944687,4.59511985013459,9,12,38947,1,430634.0,129499,0,3,0,0.79,208,5,191,0,0.0,296.0,0,0.0,1.3748364694677748,2.9204590073241627,3.1893183412924535
ACOT9,chrX,3.03300743897839,4.442651256490317,5,5,12255,1,,67079,1,1,0,0.97,42,3,27,1,,,0,0.0,2.639785635764509,3.226621747600139,3.056995123032365
ACOX1,chr17,3.440030166342099,5.840641657373398,14,66,5214,1,752722.0,37952,1,1,0,0.9,45,2,33,1,0.0,384.0,0,0.0,3.0535293722802077,2.7171949270147873,2.7745243477075365
ACOX2,chr3,2.4849066497880004,2.4849066497880004,1,1,17376,0,,32843,1,0,11997,,44,1,36,0,,,0,0.0,0.4044365793537603,1.47655088359121,0.8340539745886648
ACOX3,chr4,3.600739712869498,5.66988092298052,5,6,21307,1,,74865,0,5,0,0.864,129,4,113,4,,,0,0.0,1.5297624706435256,2.3849675229199616,2.550551069610804
ACOXL,chr2,2.47617593083285,2.995732273553991,4,7,113882,1,85503816.0,386024,0,2,0,0.925,393,2,302,24,,,0,0.0,0.0757314892506229,0.293889019439402,0.6384829301773257
ACP1,chr2,2.9659707450400177,4.934473933130692,6,8,32328,1,15706584.0,14960,1,1,0,0.87,19,2,15,1,0.0,373.0,0,0.0,2.5660718042055084,3.738412199644427,3.826291536279641
ACP2,chr11,4.0405812826106855,5.1298987149230735,6,7,9487,1,44318.0,10888,1,1,0,0.91,18,3,14,0,0.0,669.0,0,0.0,2.229875680860714,3.839766241807002,3.1825825878055913
ACP3,chr3,3.5608760639592174,5.313205979041787,13,28,6114,1,,50933,1,0,48827,,44,1,35,1,,,0,0.0,0.0,,0.0
ACP5,chr19,3.1493632258775714,5.802118375377063,8,22,32337,0,651506.0,5340,1,1,0,0.79,12,3,9,0,0.0,950.0,0,0.0,2.625479857201569,3.9685602263677295,3.660371949065793
ACP6,chr1,3.3510092066019013,5.062595033026967,3,3,15181,1,113849.0,40879,0,1,0,0.71,40,3,32,1,0.0,54.0,0,0.0,1.230014750059188,1.4660870375382178,1.3796951340411197
ACP7,chr19,3.1986322100507376,5.768320995793772,11,36,1878,0,1203501.0,27584,1,2,0,0.745,40,3,23,2,0.0,20.0,0,0.0,0.010629209273948767,0.016761438939761064,0.012006887956513114
ACR,chr22,3.379763817482419,7.609862200913554,10,20,31436,1,9614944.0,7143,0,0,6892,,8,1,2,1,0.0,118.0,0,0.0,0.0,1.7260914215265786,0.9319868999804792
ACRBP,chr12,3.168064122168261,4.343805421853684,4,4,5574,1,38025.0,9358,0,1,0,0.78,16,1,15,0,0.0,204.0,0,0.0,2.531344843893785,2.92254310993563,2.423570403299002
ACSBG2,chr19,3.451648322141195,6.569481420414296,15,90,50180,1,1960851.0,57847,1,0,6187,,37,0,16,5,0.0,67.0,0,0.0,0.01385566539443372,0.10875395143630735,0.11615269997369985
ACSF3,chr16,3.4286948298696567,4.875197323201151,10,26,7122,1,118290.0,75746,0,9,0,0.8122,168,3,153,1,0.0,85.0,0,0.0,1.77518961089889,2.566156321095491,2.4549055275151503
ACSL1,chr4,4.108044049316158,4.30406509320417,2,2,37862,0,,71352,0,2,0,0.955,124,6,117,0,,,0,0.0,6.427416828976462,4.8342639993287975,5.582613839319534
