patient_id,nearest_gene_name,chrom,last_tp_abundance,label,dist_to_nearest_tss,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,patient_id_enc
P11,MICOS10,chr1,78.0,4.3694478524670215,81800,771757.0,145418,0,2,0,0.86,165,6,131,4,0.0,36.0,0,2
P11,TMCO4,chr1,45.0,3.828641396489095,65584,1104070.0,118293,1,1,0,0.79,151,3,123,4,0.0,37.0,0,2
P11,PLA2G2E,chr1,121.0,4.804021044733257,8162,1284609.0,3608,0,0,37040,,8,0,8,0,0.0,42.0,0,2
P11,PLA2G2C,chr1,0.0,0.0,26690,1582362.0,25265,0,1,0,0.73,39,3,33,0,0.0,130.0,0,2
P11,EIF4G3,chr1,67.0,4.219507705176107,194478,2351961.0,370993,0,1,0,0.95,322,3,262,11,0.0,208.0,0,2
P11,ECE1,chr1,102.0,4.634728988229636,82521,2632205.0,128325,0,3,0,0.9067,256,5,242,2,0.0,312.0,0,2
P11,NBPF3,chr1,102.0,4.634728988229636,47208,2762045.0,44906,1,2,0,0.84,35,1,24,1,0.0,113.0,0,2
P11,ALPL,chr1,0.0,0.0,33781,2844770.0,69013,1,1,0,0.96,102,4,86,1,0.0,631.0,0,2
P11,RAP1GAP,chr1,0.0,0.0,57926,2981074.0,73631,0,6,0,0.96,164,4,141,6,0.0,264.0,0,2
P11,,chr1,0.0,0.0,5930,593627.0,38327,1,2,0,0.925,74,1,66,0,0.0,0.0,0,2
P11,ZBTB40,chr1,220.0,5.3981627015177525,124433,3673559.0,102319,1,1,0,0.91,119,1,98,2,0.0,89.0,0,2
P11,RPL11,chr1,117.0,4.770684624465665,65613,3067164.0,5150,0,1,0,0.79,13,2,11,0,0.0,135.0,0,2
P11,CNR2,chr1,0.0,0.0,14720,2794594.0,42847,1,1,0,1.05,51,3,46,0,0.0,574.0,0,2
P11,MYOM3,chr1,69.0,4.248495242049359,63954,2645000.0,56155,1,0,74860,,70,1,62,3,0.0,55.0,0,2
P11,IL22RA1,chr1,0.0,0.0,678,2549393.0,23394,0,0,43885,,32,1,29,0,0.0,260.0,0,2
P11,IFNLR1,chr1,72.0,4.290459441148391,20066,2525343.0,33791,1,1,0,0.89,36,1,31,1,0.0,169.0,0,2
P11,GRHL3,chr1,78.0,4.3694478524670215,5028,2498706.0,164924,0,1,0,0.81,207,10,161,13,0.0,284.0,0,2
P11,CLIC4,chr1,39.0,3.6888794541139363,39334,1987228.0,98979,1,1,0,0.98,102,0,89,1,0.0,310.0,0,2
P11,SYF2,chr1,166.0,5.117993812416755,133272,1594004.0,10228,0,1,0,0.79,7,1,3,0,0.0,74.0,0,2
P11,RHD,chr1,205.0,5.327876168789581,10044,1430887.0,58052,1,0,4397,,45,1,30,4,0.0,494.0,0,2
P11,LDLRAP1,chr1,16.0,2.833213344056216,51954,1201617.0,47627,0,1,0,0.84,102,1,98,1,0.0,147.0,0,2
P11,SELENON,chr1,202.0,5.313205979041787,74311,967354.0,18028,0,1,0,0.84,36,1,32,0,0.0,579.0,0,2
P11,SH3BGRL3,chr1,8.0,2.1972245773362196,14984,428163.0,1465,1,1,0,0.93,6,1,5,0,0.0,71.0,0,2
P11,CD52,chr1,0.0,0.0,18372,393650.0,2565,0,0,11160,,7,3,4,0,0.0,336.0,0,2
P11,DHDDS,chr1,109.0,4.700480365792417,7767,253187.0,39040,1,1,0,0.84,29,2,23,0,0.0,457.0,0,2
P11,RPS6KA1,chr1,62.0,4.143134726391533,6770,156710.0,45274,1,1,0,1.05,68,5,61,0,0.0,302.0,0,2
P11,ARID1A,chr1,75.0,4.330733340286331,79257,79257.0,88868,1,1,0,1.01,126,6,112,0,5.0,784.0,1,2
P11,PIGV,chr1,31.0,3.4657359027997265,27622,66196.0,13605,1,1,0,0.83,25,6,17,0,0.0,125.0,0,2
P11,GPN2,chr1,125.0,4.836281906951478,11376,185671.0,14151,1,1,0,0.99,14,1,13,0,0.0,19.0,0,2
P11,NR0B2,chr1,35.0,3.58351893845611,351,221090.0,2486,0,0,7582,,6,1,5,0,0.0,605.0,0,2
P11,TENT5B,chr1,110.0,4.709530201312334,6054,313560.0,7830,0,2,0,0.875,21,2,19,0,0.0,87.0,0,2
P11,SLC9A1,chr1,116.0,4.762173934797756,76243,397502.0,68172,1,1,0,1.14,122,2,116,0,0.0,611.0,0,2
P11,WDTC1,chr1,36.0,3.6109179126442243,32451,508089.0,74935,0,1,0,0.84,76,2,69,2,0.0,159.0,0,2
P11,WASF2,chr1,0.0,0.0,48682,748390.0,86082,1,1,0,0.9,118,2,114,0,0.0,139.0,0,2
P11,AHDC1,chr1,135.0,4.912654885736052,55763,855432.0,70396,0,5,0,0.796,162,2,158,0,0.0,94.0,0,2
P11,FAM76A,chr1,0.0,0.0,25572,1007153.0,37155,1,1,0,0.96,28,0,15,2,0.0,16.0,0,2
P11,STX12,chr1,82.0,4.418840607796598,23141,1056818.0,51248,0,1,0,0.79,46,2,38,1,0.0,39.0,0,2
P11,XKR8,chr1,0.0,0.0,10820,1255532.0,8505,1,1,0,0.79,18,4,14,0,0.0,171.0,0,2
P11,EYA3,chr1,200.0,5.303304908059076,51999,1343496.0,118387,0,1,0,1.03,111,2,94,5,0.0,109.0,0,2
P11,SESN2,chr1,0.0,0.0,10415,1555822.0,23018,0,1,0,0.9,39,2,32,0,0.0,303.0,0,2
P11,PHACTR4,chr1,194.0,5.272999558563747,19846,1656481.0,130801,1,1,0,0.74,115,3,92,2,0.0,123.0,0,2
P11,YTHDF2,chr1,147.0,4.997212273764115,30998,2012387.0,33163,1,1,0,0.97,47,4,30,1,0.0,469.0,0,2
P11,EPB41,chr1,66.0,4.204692619390966,33701,2160154.0,232955,0,2,0,0.895,211,2,179,1,0.0,591.0,0,2
P11,PTPRU,chr1,190.0,5.25227342804663,2277,2540992.0,90308,0,3,0,0.87,134,2,92,10,0.0,446.0,0,2
P11,SERINC2,chr1,77.0,4.356708826689592,4082,837597.0,25115,0,1,0,0.91,49,3,41,0,0.0,84.0,0,2
P11,TINAGL1,chr1,13.0,2.6390573296152584,83009,757768.0,11204,0,1,0,0.93,29,3,26,0,0.0,67.0,0,2
P11,ADGRB2,chr1,41.0,3.7376696182833684,30045,516396.0,37776,0,2,0,0.785,79,3,76,0,0.0,80.0,0,2
P11,ZBTB8A,chr1,92.0,4.532599493153256,35157,252741.0,66799,1,1,0,1.11,39,1,16,6,0.0,19.0,0,2
P11,RNF19B,chr1,99.0,4.605170185988092,3569,710102.0,35879,0,1,0,1.2,60,2,56,1,0.0,89.0,0,2
P11,AK2,chr1,112.0,4.727387818712341,57457,772295.0,73010,1,3,0,0.9067,99,4,84,0,0.0,115.0,0,2
P11,AZIN2,chr1,58.0,4.07753744390572,5362,835222.0,42388,0,1,0,0.73,47,2,40,2,0.0,115.0,0,2
P11,A3GALT2,chr1,60.0,4.110873864173311,32289,1037565.0,14332,0,1,0,0.98,32,1,9,4,0.0,29.0,0,2
P11,NCDN,chr1,94.0,4.553876891600541,110513,253497.0,9818,1,1,0,0.78,27,2,25,0,0.0,94.0,0,2
P11,AGO4,chr1,171.0,5.147494476813453,18238,596332.0,49874,1,1,0,1.25,36,1,32,0,0.0,168.0,0,2
P11,AGO1,chr1,74.0,4.31748811353631,30574,644088.0,60724,1,2,0,0.705,55,2,46,3,0.0,175.0,0,2
P11,ADPRS,chr1,61.0,4.127134385045092,529,394973.0,5054,0,1,0,1.03,12,1,11,0,,,0,2
P11,LSM10,chr1,243.0,5.497168225293202,657,84720.0,6707,1,1,0,0.96,9,1,8,0,0.0,36.0,0,2
P11,CSF3R,chr1,175.0,5.170483995038151,9219,9219.0,17653,0,0,1139,,37,3,29,0,3.0,571.0,1,2
P11,HPCAL4,chr1,25.0,3.258096538021482,8769,3199394.0,12837,0,2,0,0.75,23,1,22,0,0.0,55.0,0,2
P11,OXCT2,chr1,173.0,5.159055299214529,39244,3248782.0,1825,1,1,0,0.84,3,1,0,0,0.0,21.0,0,2
P11,BMP8B,chr1,105.0,4.663439094112067,8267,3297276.0,31683,0,2,0,0.96,37,2,17,3,0.0,201.0,0,2
P11,MYCL,chr1,66.0,4.204692619390966,9216,3409718.0,6828,0,1,0,0.91,18,1,17,0,0.0,259.0,0,2
P11,COL9A2,chr1,199.0,5.298317366548036,13129,3033124.0,17326,0,4,0,0.7525,41,1,39,0,0.0,266.0,0,2
P11,NFYC,chr1,91.0,4.5217885770490405,9055,2655293.0,80036,0,1,0,0.92,106,5,97,0,0.0,82.0,0,2
P11,SCMH1,chr1,55.0,4.02535169073515,88583,2184085.0,215104,0,1,0,0.9,157,2,109,7,0.0,221.0,0,2
P11,FOXJ3,chr1,19.0,2.995732273553991,85404,1087299.0,159378,0,1,0,0.91,145,4,124,0,0.0,140.0,0,2
P11,CCDC30,chr1,15.0,2.772588722239781,790,875377.0,193969,1,1,0,0.93,91,2,38,14,0.0,36.0,0,2
P11,PPIH,chr1,234.0,5.459585514144159,33019,712642.0,18573,1,1,0,0.84,15,3,12,0,0.0,59.0,0,2
P11,CLDN19,chr1,182.0,5.209486152841421,27517,625071.0,7161,1,1,0,0.67,15,1,12,0,0.0,155.0,0,2
P11,ZNF691,chr1,0.0,0.0,38120,453115.0,5904,1,1,0,0.81,12,1,10,0,0.0,12.0,0,2
P11,CFAP144,chr1,162.0,5.093750200806762,89558,282213.0,11243,1,1,0,0.84,10,2,5,1,0.0,32.0,0,2
P11,ST3GAL3,chr1,94.0,4.553876891600541,24362,343654.0,225343,0,1,0,1.11,257,6,224,5,0.0,130.0,0,2
P11,ARTN,chr1,46.0,3.8501476017100584,109697,485815.0,3924,1,2,0,0.755,12,7,5,0,0.0,468.0,0,2
P11,IPO13,chr1,38.0,3.6635616461296463,4516,604506.0,21194,0,1,0,0.85,31,1,29,0,0.0,64.0,0,2
P11,KLF18,chr1,93.0,4.543294782270004,10535,793288.0,3810,0,0,34094,,1,0,0,0,0.0,2.0,0,2
P11,DMAP1,chr1,124.0,4.8283137373023015,35416,840203.0,7254,1,1,0,0.74,12,2,9,0,0.0,45.0,0,2
P11,ERI3,chr1,95.0,4.564348191467836,69894,947565.0,134197,0,1,0,0.94,201,2,176,2,0.0,31.0,0,2
P11,TMEM53,chr1,25.0,3.258096538021482,133590,800002.0,39243,0,2,0,0.705,66,1,61,2,0.0,277.0,0,2
P11,RPS8,chr1,100.0,4.61512051684126,3521,569163.0,3528,0,1,0,0.9,10,6,4,0,0.0,72.0,0,2
P11,PTCH2,chr1,146.0,4.990432586778736,2691,500331.0,24099,1,1,0,0.81,48,5,41,0,0.0,366.0,0,2
P11,EIF2B3,chr1,214.0,5.3706380281276624,71417,425588.0,136200,1,1,0,0.81,89,1,69,5,0.0,195.0,0,2
P11,MUTYH,chr1,170.0,5.14166355650266,225,225.0,11730,0,1,0,1.1,20,3,16,0,7.0,445.0,1,2
P11,PRDX1,chr1,0.0,0.0,16125,185798.0,31902,1,1,0,0.86,52,3,43,0,0.0,696.0,0,2
P11,AKR1A1,chr1,0.0,0.0,4592,214174.0,19576,0,1,0,0.85,21,3,17,0,0.0,478.0,0,2
P11,CCDC17,chr1,109.0,4.700480365792417,18359,264806.0,4014,1,1,0,0.8,13,0,13,0,0.0,28.0,0,2
P11,TMEM69,chr1,0.0,0.0,30330,316926.0,6294,1,0,741,,6,1,4,0,0.0,16.0,0,2
P11,MAST2,chr1,87.0,4.477336814478207,16533,429561.0,249241,1,1,0,1.08,222,3,193,2,0.0,122.0,0,2
P11,PIK3R3,chr1,43.0,3.784189633918261,159085,633360.0,93198,1,1,0,0.82,82,3,65,2,0.0,409.0,0,2
P11,TMEM275,chr1,35.0,3.58351893845611,16670,1187003.0,12400,0,2,0,0.91,22,1,10,5,0.0,3.0,0,2
P11,CYP4B1,chr1,0.0,0.0,19132,1397813.0,61575,1,0,38427,,47,1,38,0,0.0,113.0,0,2
P11,BEND5,chr1,362.0,5.8944028342648505,130138,2313914.0,49450,1,1,0,0.84,55,1,48,1,0.0,62.0,0,2
P11,CDKN2C,chr1,49.0,3.912023005428146,3192,3192.0,13889,0,1,0,0.89,29,3,23,1,2.0,430.0,1,2
P11,C1orf185,chr1,38.0,3.6635616461296463,70053,71423.0,45865,1,0,88009,,21,0,7,2,0.0,25.0,0,2
P11,TTC39A,chr1,70.0,4.2626798770413155,53925,228196.0,57858,0,2,0,0.895,97,8,72,2,0.0,89.0,0,2
P11,NRDC,chr1,73.0,4.30406509320417,146035,213383.0,91288,0,1,0,1.0,84,4,65,1,0.0,119.0,0,2
P11,RAB3B,chr1,45.0,3.828641396489095,55773,415540.0,82744,0,1,0,0.89,98,1,84,3,0.0,100.0,0,2
P11,ZYG11B,chr1,0.0,0.0,13605,1193455.0,100889,1,1,0,0.89,76,1,53,8,0.0,41.0,0,2
P11,SCP2,chr1,70.0,4.2626798770413155,3441,1411330.0,124422,1,1,0,0.73,87,2,66,5,0.0,244.0,0,2
P11,TCEANC2,chr1,0.0,0.0,16300,2517180.0,59652,0,1,0,0.76,53,4,30,6,0.0,8.0,0,2
P11,ACOT11,chr1,66.0,4.204692619390966,53013,2969857.0,96935,0,1,0,0.71,140,2,128,0,0.0,85.0,0,2
P11,MROH7-TTC4,chr1,0.0,0.0,16341,3138740.0,100522,1,1,0,0.8,72,1,30,8,0.0,0.0,0,2
P11,PARS2,chr1,25.0,3.258096538021482,16417,3228742.0,7952,0,1,0,0.97,9,1,7,0,0.0,70.0,0,2
P11,USP24,chr1,87.0,4.477336814478207,29818,3666548.0,149394,1,1,0,1.0,139,1,124,2,0.0,193.0,0,2
P11,TM2D1,chr1,251.0,5.529429087511423,371166,3713497.0,51787,0,1,0,0.87,40,2,25,5,0.0,149.0,0,2
P11,PATJ,chr1,151.0,5.0238805208462765,2893,3328170.0,436198,1,1,0,0.88,300,3,208,26,0.0,186.0,0,2
P11,ROR1,chr1,38.0,3.6635616461296463,61453,1355190.0,407481,1,1,0,0.91,469,2,433,11,0.0,294.0,0,2
P11,DYNLT5,chr1,0.0,0.0,107231,1576756.0,27310,0,1,0,0.83,30,1,28,0,0.0,48.0,0,2
P11,DNAI4,chr1,0.0,0.0,59091,1798045.0,112005,1,0,307,,55,1,22,8,0.0,157.0,0,2
P11,SLC35D1,chr1,83.0,4.430816798843313,53641,1932764.0,54809,0,1,0,0.83,46,1,42,1,0.0,179.0,0,2
P11,C1orf141,chr1,0.0,0.0,31303,2132796.0,139688,1,1,0,1.06,126,4,98,1,0.0,50.0,0,2
P11,SERBP1,chr1,141.0,4.955827057601261,59796,2302865.0,22605,0,1,0,0.83,32,3,22,1,0.0,121.0,0,2
P11,CTH,chr1,49.0,3.912023005428146,49201,5387641.0,36577,0,1,0,0.91,41,2,34,1,0.0,617.0,0,2
P11,PTGER3,chr1,36.0,3.6109179126442243,320246,5659816.0,195463,1,1,0,0.81,160,1,120,8,0.0,350.0,0,2
P11,NEGR1,chr1,294.0,5.68697535633982,532157,6229145.0,886596,0,0,787,,539,3,280,75,0.0,189.0,0,2
P11,LHX8,chr1,73.0,4.30406509320417,154690,3005783.0,33099,0,4,0,0.845,41,5,33,1,0.0,159.0,0,2
P11,ST6GALNAC5,chr1,62.0,4.143134726391533,384383,1496463.0,200099,1,1,0,0.77,157,1,111,9,0.0,72.0,0,2
P11,GIPC2,chr1,90.0,4.51085950651685,48825,48840.0,158906,0,2,0,1.1,153,7,122,4,0.0,82.0,0,2
P11,PTGFR,chr1,397.0,5.986452005284438,159220,165137.0,236817,0,1,0,0.8,144,2,88,13,0.0,224.0,0,2
P11,ADGRL2,chr1,136.0,4.919980925828125,860258,2466327.0,687828,1,1,0,0.86,550,7,398,33,0.0,179.0,0,2
P11,TTLL7,chr1,278.0,5.631211781821365,1340359,2617827.0,134140,0,1,0,0.78,96,2,85,2,0.0,73.0,0,2
P11,SAMD13,chr1,111.0,4.718498871295094,107676,1085942.0,91591,1,1,0,0.81,95,4,76,5,0.0,44.0,0,2
P11,DNASE2B,chr1,17.0,2.8903717578961645,26981,905129.0,16534,1,0,64231,,22,1,14,1,0.0,133.0,0,2
P11,CTBS,chr1,176.0,5.176149732573829,25899,728051.0,24869,0,1,0,1.09,25,2,12,3,0.0,322.0,0,2
P11,SSX2IP,chr1,152.0,5.030437921392435,58100,643777.0,47249,0,1,0,0.96,33,2,20,6,0.0,73.0,0,2
P11,MCOLN2,chr1,0.0,0.0,43001,322518.0,71532,1,1,0,0.91,69,1,55,2,0.0,85.0,0,2
P11,COL24A1,chr1,214.0,5.3706380281276624,195132,685179.0,427710,1,2,0,0.765,224,1,108,40,0.0,112.0,0,2
P11,CLCA2,chr1,27.0,3.332204510175204,9106,1138433.0,32382,1,0,27771,,30,1,21,2,0.0,209.0,0,2
P11,CLCA4,chr1,93.0,4.543294782270004,25132,1245312.0,33682,0,1,0,0.71,23,1,8,0,0.0,142.0,0,2
P11,SH3GLB1,chr1,39.0,3.6888794541139363,49748,1378140.0,43664,0,1,0,0.95,42,3,35,1,0.0,90.0,0,2
P11,PKN2,chr1,171.0,5.147494476813453,653071,2754519.0,152033,1,1,0,0.93,101,4,75,3,0.0,153.0,0,2
P11,GBP4,chr1,0.0,0.0,1780,3634828.0,17798,0,0,188223,,11,2,8,0,0.0,132.0,0,2
P11,GBP5,chr1,0.0,0.0,36757,3595857.0,16701,1,0,251361,,23,2,21,0,0.0,227.0,0,2
P11,ZNF326,chr1,63.0,4.1588830833596715,625,2837505.0,40423,1,1,0,0.95,32,1,24,1,0.0,47.0,0,2
P11,BARHL2,chr1,240.0,5.484796933490655,357266,2471954.0,5763,0,1,0,1.12,15,1,14,0,0.0,96.0,0,2
P11,HFM1,chr1,56.0,4.04305126783455,43454,1470588.0,144090,1,1,0,0.92,54,1,24,9,0.0,507.0,0,2
P11,RPL5,chr1,78.0,4.3694478524670215,19685,19685.0,9934,1,1,0,0.89,19,3,16,0,4.0,273.0,1,2
P11,DIPK1A,chr1,291.0,5.676753802268282,56097,73435.0,128785,1,1,0,0.9,141,5,127,0,0.0,74.0,0,2
P11,MTF2,chr1,44.0,3.8066624897703196,57721,189524.0,59844,1,1,0,0.95,44,1,36,0,0.0,203.0,0,2
P11,BCAR3,chr1,238.0,5.476463551931511,198868,816630.0,285747,0,2,0,1.005,426,9,411,0,0.0,369.0,0,2
P11,GCLM,chr1,47.0,3.871201010907891,14624,1092147.0,24314,1,1,0,1.07,23,2,18,0,0.0,245.0,0,2
P11,PTBP2,chr1,51.0,3.9512437185814275,403857,3485726.0,102165,0,1,0,0.94,48,4,28,2,0.0,306.0,0,2
P11,DPYD,chr1,179.0,5.19295685089021,479109,4683901.0,917257,0,1,0,0.94,588,2,360,51,0.0,375.0,0,2
P11,SNX7,chr1,106.0,4.672828834461906,333113,5496569.0,98832,0,1,0,0.85,79,1,58,6,0.0,59.0,0,2
P11,LRRC39,chr1,0.0,0.0,6672,7339605.0,29843,1,0,15226,,18,1,15,0,0.0,31.0,0,2
P11,CDC14A,chr1,110.0,4.709530201312334,150,7493489.0,194648,0,1,0,0.72,209,4,168,7,0.0,359.0,0,2
P11,GPR88,chr1,150.0,5.017279836814924,101296,7604853.0,3882,1,1,0,0.93,10,1,9,0,0.0,78.0,0,2
P11,DPH5,chr1,31.0,3.4657359027997265,55943,8138177.0,36487,0,1,0,0.81,35,2,32,0,0.0,40.0,0,2
P11,S1PR1,chr1,99.0,4.605170185988092,11367,8392009.0,8347,1,2,0,0.965,20,5,15,0,0.0,586.0,0,2
P11,COL11A1,chr1,20.0,3.044522437723423,492581,9784301.0,232405,1,0,416598,,96,2,47,19,0.0,559.0,0,2
P11,SORT1,chr1,0.0,0.0,45240,5364044.0,88399,0,1,0,1.02,101,3,92,0,0.0,529.0,0,2
P11,CD53,chr1,19.0,2.995732273553991,38381,3883976.0,28760,1,0,63323,,39,1,37,0,0.0,425.0,0,2
P11,OVGP1,chr1,39.0,3.6888794541139363,38034,3327070.0,13416,0,0,20947,,16,1,13,0,0.0,86.0,0,2
P11,DDX20,chr1,194.0,5.272999558563747,93025,3054964.0,20770,1,1,0,0.85,23,3,15,0,0.0,198.0,0,2
P11,KCND3,chr1,105.0,4.663439094112067,7131,2734234.0,219006,0,2,0,0.905,294,4,205,18,0.0,291.0,0,2
P11,CTTNBP2NL,chr1,56.0,4.04305126783455,200903,2521472.0,67254,1,0,8,,81,4,74,1,0.0,41.0,0,2
P11,LRIG2,chr1,241.0,5.488937726156687,708,1644300.0,59081,0,1,0,0.82,49,1,39,2,0.0,94.0,0,2
P11,SYT6,chr1,91.0,4.5217885770490405,87284,650175.0,64589,1,1,0,0.89,114,3,92,6,0.0,33.0,0,2
P11,TRIM33,chr1,44.0,3.8066624897703196,177786,383313.0,118463,0,1,0,1.04,108,2,70,10,0.0,415.0,0,2
P11,GDAP2,chr1,76.0,4.343805421853684,2002,325616.0,66177,1,1,0,0.8,32,1,19,0,0.0,44.0,0,2
P11,ZNF697,chr1,71.0,4.276666119016055,9042,443283.0,29077,1,3,0,0.8367,44,1,37,0,0.0,46.0,0,2
P11,REG4,chr1,0.0,0.0,21392,267807.0,17563,1,0,41606,,21,2,16,0,0.0,164.0,0,2
P11,NBPF8,chr1,101.0,4.624972813284271,46212,360468.0,54641,0,1,0,0.87,12,0,7,1,0.0,8.0,0,2
P11,NOTCH2NLR,chr1,68.0,4.23410650459726,153285,469848.0,70939,0,1,0,0.75,12,2,4,1,0.0,1.0,0,2
P11,PPIAL4A,chr1,49.0,3.912023005428146,76234,712758.0,759,0,0,22174,,0,0,0,0,0.0,7.0,0,2
P11,H3-7,chr1,185.0,5.225746673713202,1302591,4938115.0,11433,0,2,0,1.005,5,3,1,0,0.0,16.0,0,2
P11,PPIAL4E,chr1,77.0,4.356708826689592,175065,3342932.0,759,1,0,38593,,0,0,0,0,0.0,4.0,0,2
P11,NBPF15,chr1,71.0,4.276666119016055,36991,3042834.0,40286,1,1,0,0.86,9,1,5,1,0.0,26.0,0,2
P11,FAM72D,chr1,276.0,5.6240175061873385,2707,2442823.0,16725,1,1,0,0.76,1,0,0,0,0.0,79.0,0,2
P11,PPIAL4D,chr1,258.0,5.556828061699537,72571,2371898.0,759,1,0,8375,,0,0,0,0,0.0,0.0,0,2
P11,NBPF20,chr1,93.0,4.543294782270004,83649,2199547.0,135703,0,1,0,0.88,9,0,4,1,0.0,15.0,0,2
P11,PPIAL4H,chr1,197.0,5.288267030694535,13359,1183377.0,759,0,0,21771,,0,0,0,0,0.0,1.0,0,2
P11,NBPF12,chr1,70.0,4.2626798770413155,291100,894277.0,57878,1,1,0,0.84,23,2,11,5,0.0,24.0,0,2
P11,PRKAB2,chr1,0.0,0.0,113580,481365.0,18610,1,1,0,0.78,23,5,16,1,0.0,197.0,0,2
P11,GPR89B,chr1,69.0,4.248495242049359,12613,374279.0,65199,0,1,0,0.81,17,1,6,0,0.0,29.0,0,2
P11,NBPF11,chr1,15.0,2.772588722239781,24874,635715.0,50300,0,3,0,0.7667,19,2,9,1,0.0,10.0,0,2
P11,NBPF14,chr1,42.0,3.7612001156935624,79174,1059067.0,148357,1,1,0,0.89,18,1,2,3,0.0,31.0,0,2
