gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,replication_timing
ENSG00000157911,PEX10,chr1,2403964,2413797,-1,2,0,0.79,26,1,25,0,0.0,78.0,0.0,67.20882727272728
ENSG00000149527,PLCH2,chr1,2425980,2505532,1,12,0,0.7308,153,4,134,1,0.0,62.0,0.0,64.93304444444445
ENSG00000157881,PANK4,chr1,2508534,2526612,-1,7,0,0.7957,39,1,34,1,0.0,187.0,0.0,61.21100526315788
ENSG00000197921,HES5,chr1,2528745,2530263,-1,1,0,1.22,6,2,4,0,0.0,173.0,0.0,60.0236
ENSG00000157873,TNFRSF14,chr1,2554244,2565382,1,0,7320,,32,4,28,0,6.0,399.0,1.0,56.333733333333335
ENSG00000157870,PRXL2B,chr1,2586491,2591470,1,1,0,0.97,15,2,9,0,0.0,88.0,0.0,52.20045
ENSG00000142606,MMEL1,chr1,2590639,2633016,-1,3,0,0.71,79,3,24,5,0.0,280.0,0.0,48.78779302325581
ENSG00000215912,TTC34,chr1,2636986,2801693,-1,3,0,0.7567,95,1,42,10,0.0,45.0,0.0,41.38692409638554
ENSG00000169717,ACTRT2,chr1,3021467,3022903,1,1,0,0.64,4,0,0,2,0.0,40.0,0.0,41.809666666666665
ENSG00000142611,PRDM16,chr1,3069168,3438621,1,33,0,0.7918,704,6,636,9,1.0,571.0,1.0,51.702081671159036
ENSG00000130762,ARHGEF16,chr1,3454550,3481127,1,2,0,0.715,72,4,67,0,0.0,90.0,0.0,66.38978518518519
ENSG00000162591,MEGF6,chr1,3487942,3611543,-1,10,0,0.808,249,2,228,3,0.0,72.0,0.0,71.6962136
ENSG00000158109,TPRG1L,chr1,3624979,3630131,1,1,0,0.93,9,1,5,0,0.0,32.0,0.0,75.42816666666668
ENSG00000116213,WRAP73,chr1,3630767,3652761,-1,4,0,0.88,45,3,34,3,0.0,26.0,0.0,76.39666956521738
ENSG00000078900,TP73,chr1,3652516,3736201,1,5,0,0.758,185,4,161,4,0.0,528.0,0.0,81.10421428571429
ENSG00000162592,CCDC27,chr1,3746460,3771645,1,1,0,0.81,35,3,11,2,0.0,20.0,0.0,82.57551481481481
ENSG00000235169,SMIM1,chr1,3772655,3776709,1,1,0,0.71,13,2,11,0,0.0,39.0,0.0,79.97592
ENSG00000130764,LRRC47,chr1,3778559,3796511,-1,2,0,0.77,39,1,33,0,0.0,29.0,0.0,76.34223157894738
ENSG00000116198,CEP104,chr1,3812086,3857723,-1,2,0,0.765,46,1,42,1,0.0,55.0,0.0,55.132217021276595
ENSG00000169598,DFFB,chr1,3857267,3885429,1,3,0,0.7967,39,1,32,1,0.0,76.0,0.0,36.219610344827586
ENSG00000198912,C1orf174,chr1,3889125,3900293,-1,2,0,0.645,20,1,19,0,0.0,46.0,0.0,26.61565833333334
ENSG00000196581,AJAP1,chr1,4654609,4792534,1,4,0,0.85,191,3,150,6,0.0,123.0,0.0,37.53469424460432
ENSG00000131697,NPHP4,chr1,5862804,5993455,-1,3,0,0.8333,208,2,169,8,0.0,372.0,0.0,59.6504786259542
ENSG00000069424,KCNAB2,chr1,5990927,6101193,1,4,0,0.7875,211,10,189,4,0.0,200.0,0.0,64.41506126126126
ENSG00000116254,CHD5,chr1,6101787,6180321,-1,5,0,0.878,156,1,113,9,0.0,285.0,0.0,69.13267468354434
ENSG00000285629,,chr1,6159430,6197757,-1,2,0,0.925,74,1,66,0,0.0,0.0,0.0,70.98509
ENSG00000116251,RPL22,chr1,6185020,6209389,-1,3,0,0.9,37,6,29,0,0.0,352.0,0.0,71.851872
ENSG00000158286,RNF207,chr1,6205392,6221299,1,2,0,0.905,33,3,19,2,0.0,54.0,0.0,72.56356470588234
ENSG00000116237,ICMT,chr1,6221193,6235972,-1,1,0,1.1,19,2,16,0,0.0,57.0,0.0,73.2069375
ENSG00000173673,HES3,chr1,6244179,6245578,1,1,0,0.79,5,1,4,0,0.0,30.0,0.0,73.8309
ENSG00000158292,GPR153,chr1,6247347,6261098,-1,3,0,0.89,27,1,18,0,0.0,43.0,0.0,74.13385333333332
ENSG00000097021,ACOT7,chr1,6264268,6393767,-1,3,0,0.79,208,5,191,0,0.0,296.0,0.0,75.49860610687023
ENSG00000069812,HES2,chr1,6412418,6424690,-1,2,0,0.995,30,3,27,0,0.0,39.0,0.0,76.17590714285714
ENSG00000187017,ESPN,chr1,6424776,6461367,1,7,0,0.8643,73,4,59,0,0.0,204.0,0.0,76.47506216216216
ENSG00000215788,TNFRSF25,chr1,6460786,6466181,-1,2,0,0.825,15,1,14,0,0.0,350.0,0.0,76.78945
ENSG00000171680,PLEKHG5,chr1,6467122,6520074,-1,5,0,0.792,111,10,90,1,0.0,79.0,0.0,77.3313462962963
ENSG00000162408,NOL9,chr1,6521347,6554536,-1,1,0,1.04,26,1,21,1,0.0,38.0,0.0,78.00169428571431
ENSG00000173662,TAS1R1,chr1,6555307,6579755,1,1,0,0.77,25,2,20,0,0.0,263.0,0.0,78.19691923076923
ENSG00000204859,ZBTB48,chr1,6579994,6589280,1,1,0,0.77,22,1,20,0,0.0,70.0,0.0,78.19418
ENSG00000162413,KLHL21,chr1,6590724,6614607,-1,4,0,0.845,58,3,53,0,0.0,40.0,0.0,78.072936
ENSG00000116273,PHF13,chr1,6613731,6624030,1,1,0,0.95,19,3,14,0,0.0,160.0,0.0,77.89728181818181
ENSG00000041988,THAP3,chr1,6624845,6635586,1,1,0,0.83,19,2,17,0,0.0,41.0,0.0,77.721975
ENSG00000007923,DNAJC11,chr1,6634168,6701924,-1,1,0,0.89,79,1,68,2,0.0,62.0,0.0,76.84092463768116
ENSG00000171735,CAMTA1,chr1,6785454,7769706,1,6,0,0.8533,1238,6,941,47,1.0,303.0,1.0,54.37934381338742
ENSG00000049245,VAMP3,chr1,7771296,7781432,1,1,0,0.95,7,1,6,0,0.0,128.0,0.0,59.92606363636364
ENSG00000049246,PER3,chr1,7784291,7845181,1,2,0,0.825,40,3,19,3,0.0,245.0,0.0,61.20462903225807
ENSG00000049247,UTS2,chr1,7843083,7853512,-1,0,15667,,9,1,3,1,0.0,226.0,0.0,62.043883333333326
ENSG00000049249,TNFRSF9,chr1,7915871,7943165,-1,1,0,0.92,36,2,33,0,0.0,744.0,0.0,64.29945000000001
ENSG00000116288,PARK7,chr1,7954264,7985505,1,2,0,0.895,38,3,34,0,0.0,528.0,0.0,66.05694848484848
ENSG00000116285,ERRFI1,chr1,8004404,8026312,-1,1,0,1.06,51,2,49,0,0.0,232.0,0.0,67.66264347826088
ENSG00000162426,SLC45A1,chr1,8318104,8344167,1,6,0,0.7717,33,2,17,6,0.0,99.0,0.0,60.63394444444444
ENSG00000142599,RERE,chr1,8352397,8848921,-1,4,0,0.865,684,6,631,10,0.0,560.0,0.0,67.75006204819277
ENSG00000074800,ENO1,chr1,8860977,8879289,-1,1,0,0.86,42,1,41,0,0.0,481.0,0.0,76.5245052631579
ENSG00000131686,CA6,chr1,8945867,8975092,1,0,64129,,44,1,42,0,0.0,181.0,0.0,76.05657
ENSG00000197241,SLC2A7,chr1,9002973,9026423,-1,0,12798,,33,1,32,0,0.0,25.0,0.0,74.07782083333333
ENSG00000142583,SLC2A5,chr1,9035106,9088478,-1,1,0,0.77,83,2,77,1,0.0,328.0,0.0,70.79988333333333
ENSG00000180758,GPR157,chr1,9100305,9129122,-1,1,0,0.85,49,2,43,0,0.0,31.0,0.0,66.85140333333332
ENSG00000049239,H6PD,chr1,9234774,9271337,1,3,0,0.78,77,2,73,0,0.0,450.0,0.0,62.282562162162165
ENSG00000171621,SPSB1,chr1,9292101,9369532,1,3,0,0.9,144,1,135,0,0.0,87.0,0.0,59.46300632911393
ENSG00000171612,SLC25A33,chr1,9539465,9585173,1,1,0,0.98,60,1,53,2,0.0,71.0,0.0,67.9617255319149
ENSG00000188807,TMEM201,chr1,9588721,9614877,1,2,0,0.925,56,1,49,1,0.0,103.0,0.0,69.80367407407408
ENSG00000171608,PIK3CD,chr1,9629889,9730117,1,3,0,0.84,143,4,136,0,0.0,2196.0,0.0,71.8077306930693
ENSG00000171603,CLSTN1,chr1,9728926,9823993,-1,4,0,0.82,134,2,123,1,0.0,190.0,0.0,74.64392500000001
ENSG00000178585,CTNNBIP1,chr1,9848269,9910368,-1,1,0,0.96,109,5,98,1,0.0,122.0,0.0,78.21010476190474
ENSG00000162441,LZIC,chr1,9922113,9943407,-1,1,0,0.8,21,3,15,0,0.0,16.0,0.0,79.82451818181819
ENSG00000173614,NMNAT1,chr1,9943428,9985501,1,1,0,0.8,32,2,26,0,0.0,364.0,0.0,80.349725
ENSG00000162444,RBP7,chr1,9997054,10016021,1,1,0,0.93,20,2,13,0,0.0,76.0,0.0,80.30772380952381
ENSG00000130939,UBE4B,chr1,10032832,10181244,1,1,0,0.93,154,3,138,1,0.0,311.0,0.0,76.06948456375838
ENSG00000054523,KIF1B,chr1,10210533,10381606,1,2,0,0.995,151,5,137,0,0.0,235.0,0.0,74.07506802325581
ENSG00000142657,PGD,chr1,10398592,10420511,1,1,0,0.88,23,1,19,0,0.0,275.0,0.0,75.03374347826087
ENSG00000251503,CENPS-CORT,chr1,10430102,10452153,1,1,0,1.04,26,5,20,0,0.0,0.0,0.0,74.92191739130435
ENSG00000175279,CENPS,chr1,10430433,10442808,1,1,0,1.04,15,3,12,0,0.0,81.0,0.0,74.9191
ENSG00000241563,CORT,chr1,10450031,10451998,1,0,19016,,5,1,4,0,0.0,668.0,0.0,74.9345
ENSG00000160049,DFFA,chr1,10456522,10472549,-1,1,0,1.04,16,3,8,1,0.0,115.0,0.0,75.01732352941177
ENSG00000142655,PEX14,chr1,10472288,10630758,1,2,0,0.895,207,4,179,1,0.0,90.0,0.0,74.958446875
ENSG00000130940,CASZ1,chr1,10636604,10796650,-1,10,0,0.815,328,2,322,0,0.0,471.0,0.0,67.72590869565217
ENSG00000175262,CIROZ,chr1,10946471,10982076,-1,0,30264,,46,0,41,0,0.0,66.0,0.0,69.73625945945946
ENSG00000120948,TARDBP,chr1,11012344,11030528,1,1,0,0.89,20,2,12,0,0.0,667.0,0.0,74.23366
ENSG00000009724,MASP2,chr1,11022009,11047241,-1,0,8821,,32,1,16,3,0.0,279.0,0.0,75.05611153846154
ENSG00000116649,SRM,chr1,11054584,11060053,-1,1,0,0.89,14,1,10,1,0.0,104.0,0.0,76.18441666666666
ENSG00000171824,EXOSC10,chr1,11066613,11099898,-1,1,0,0.92,27,3,19,1,0.0,203.0,0.0,76.7472794117647
ENSG00000198793,MTOR,chr1,11106531,11262556,-1,1,0,0.75,156,3,145,0,5.0,2341.0,1.0,75.00580700636944
ENSG00000171819,ANGPTL7,chr1,11189355,11195981,1,0,66220,,8,0,8,0,0.0,102.0,0.0,74.6643375
ENSG00000120942,UBIAD1,chr1,11273198,11296049,1,1,0,0.77,30,4,25,0,0.0,214.0,0.0,73.361025
ENSG00000204624,DISP3,chr1,11478905,11537583,1,4,0,0.9075,79,2,49,3,0.0,59.0,0.0,67.13983166666667
ENSG00000116661,FBXO2,chr1,11637018,11655785,-1,3,0,0.8567,35,3,26,3,0.0,148.0,0.0,72.22284499999999
ENSG00000132879,FBXO44,chr1,11650618,11663327,1,2,0,0.885,30,3,14,1,0.0,24.0,0.0,72.94001538461538
ENSG00000116670,MAD2L2,chr1,11657230,11692605,-1,3,0,0.85,62,4,44,1,0.0,361.0,0.0,74.13524864864864
ENSG00000116663,FBXO6,chr1,11664189,11674354,1,1,0,0.87,16,1,13,0,0.0,69.0,0.0,73.74952727272726
ENSG00000162490,DRAXIN,chr1,11690958,11725857,1,2,0,0.77,59,2,50,2,0.0,118.0,0.0,76.1730888888889
ENSG00000177674,AGTRAP,chr1,11736084,11754802,1,1,0,0.89,37,2,34,0,0.0,202.0,0.0,78.01397999999999
ENSG00000215910,C1orf167,chr1,11761787,11789585,1,1,0,0.9,50,2,33,2,0.0,25.0,0.0,79.20997931034483
ENSG00000177000,MTHFR,chr1,11785723,11806455,-1,1,0,0.73,58,7,45,0,0.0,1022.0,0.0,79.88419047619047
ENSG00000011021,CLCN6,chr1,11806096,11848079,1,2,0,0.775,55,6,42,0,0.0,122.0,0.0,80.76974186046512
ENSG00000175206,NPPA,chr1,11845709,11848345,-1,0,7034,,5,2,3,0,0.0,1180.0,0.0,81.28283333333333
ENSG00000120937,NPPB,chr1,11857464,11858976,-1,0,82,,4,1,3,0,0.0,1194.0,0.0,81.53923333333331
ENSG00000116685,KIAA2013,chr1,11919591,11926428,-1,1,0,0.83,14,1,13,0,0.0,13.0,0.0,82.7458
ENSG00000083444,PLOD1,chr1,11934205,11975542,1,1,0,1.35,52,1,40,0,0.0,1131.0,0.0,83.16704883720931
ENSG00000116688,MFN2,chr1,11980181,12015211,1,1,0,0.83,59,1,57,0,0.0,536.0,0.0,83.59675555555557
ENSG00000116691,MIIP,chr1,12019466,12032046,1,1,0,0.87,18,1,15,0,0.0,67.0,0.0,83.78448571428574
ENSG00000120949,TNFRSF8,chr1,12063303,12144207,1,1,0,0.79,132,4,98,7,0.0,660.0,0.0,83.72016951219513
ENSG00000028137,TNFRSF1B,chr1,12166977,12209228,1,2,0,0.815,99,2,96,0,0.0,840.0,0.0,83.13127906976746
ENSG00000048707,VPS13D,chr1,12230030,12512047,1,2,0,0.755,344,2,304,10,0.0,94.0,0.0,80.94877703180212
ENSG00000162496,DHRS3,chr1,12567909,12620133,-1,2,0,0.865,100,4,86,1,0.0,114.0,0.0,81.09649811320753
ENSG00000204518,AADACL4,chr1,12644085,12667076,1,0,25449,,28,0,17,1,0.0,22.0,0.0,79.75925416666666
ENSG00000188984,AADACL3,chr1,12716110,12728760,1,0,97474,,7,1,3,2,0.0,14.0,0.0,78.37068571428573
ENSG00000157330,CFAP107,chr1,12746200,12763699,1,0,127564,,15,1,9,2,0.0,22.0,0.0,76.92953684210526
ENSG00000116726,PRAMEF12,chr1,12773738,12777906,1,0,155102,,1,0,0,0,0.0,190.0,0.0,75.63626000000001
ENSG00000116721,PRAMEF1,chr1,12791397,12796628,1,0,172761,,0,0,0,0,0.0,182.0,0.0,74.3466
ENSG00000239810,PRAMEF11,chr1,12824605,12831410,-1,0,205969,,0,0,0,0,0.0,179.0,0.0,71.89482857142858
ENSG00000179172,HNRNPCL1,chr1,12847377,12848720,-1,0,228741,,0,0,0,0,0.0,24.0,0.0,70.6976
ENSG00000120952,PRAMEF2,chr1,12857086,12861909,1,0,238450,,0,0,0,0,0.0,179.0,0.0,70.13
ENSG00000243073,PRAMEF4,chr1,12879212,12886201,-1,0,260576,,1,0,0,0,0.0,183.0,0.0,69.18437499999999
ENSG00000187545,PRAMEF10,chr1,12892250,12898270,-1,0,273614,,1,0,0,0,0.0,174.0,0.0,68.70815714285715
ENSG00000204510,PRAMEF7,chr1,12916610,12920751,1,0,297974,,0,0,0,0,0.0,175.0,0.0,67.62382000000001
ENSG00000232423,PRAMEF6,chr1,12938472,12947580,-1,0,319836,,0,0,0,0,0.0,174.0,0.0,65.83825454545455
ENSG00000274764,PRAMEF27,chr1,13049476,13056575,-1,0,430840,,0,0,0,0,0.0,174.0,0.0,45.07736666666668
ENSG00000277058,HNRNPCL3,chr1,13060769,13062878,1,0,442133,,0,0,0,0,0.0,14.0,0.0,43.5006
ENSG00000229571,PRAMEF25,chr1,13068677,13077884,1,0,435126,,0,0,0,0,0.0,174.0,0.0,41.83455
ENSG00000275774,HNRNPCL2,chr1,13115488,13116854,-1,0,396156,,0,0,0,0,0.0,19.0,0.0,39.16309999999999
ENSG00000280267,PRAMEF26,chr1,13148905,13158116,-1,0,354894,,0,0,0,0,0.0,174.0,0.0,39.06312999999999
ENSG00000179412,HNRNPCL4,chr1,13163914,13165631,-1,0,347379,,0,0,0,0,0.0,14.0,0.0,38.72493333333333
ENSG00000204505,PRAMEF9,chr1,13171848,13179459,1,0,333551,,0,0,0,0,0.0,174.0,0.0,38.1037125
ENSG00000279169,PRAMEF13,chr1,13196188,13201409,-1,0,311601,,0,0,0,0,0.0,175.0,0.0,35.51499999999999
ENSG00000279804,PRAMEF18,chr1,13222695,13226154,-1,0,286856,,1,0,0,0,0.0,174.0,0.0,30.448249999999998
ENSG00000270601,PRAMEF5,chr1,13254198,13263435,1,0,249575,,0,0,0,0,0.0,176.0,0.0,22.088630000000002
ENSG00000182330,PRAMEF8,chr1,13281304,13285137,-1,0,227873,,0,0,0,0,0.0,174.0,0.0,17.240859999999998
ENSG00000237700,PRAMEF33,chr1,13303539,13308907,1,0,204103,,0,0,0,0,0.0,174.0,0.0,15.127033333333335
ENSG00000204501,PRAMEF15,chr1,13315581,13322598,1,0,190412,,0,0,0,0,0.0,174.0,0.0,15.263537499999998
ENSG00000204481,PRAMEF14,chr1,13341892,13347134,-1,0,165876,,0,0,0,0,0.0,176.0,0.0,18.05335
ENSG00000204480,PRAMEF19,chr1,13368431,13371947,-1,0,141063,,1,0,0,1,0.0,174.0,0.0,23.44012
ENSG00000204479,PRAMEF17,chr1,13389632,13392629,1,0,120381,,1,0,0,0,0.0,182.0,0.0,28.472949999999997
ENSG00000204478,PRAMEF20,chr1,13410450,13421328,1,0,91682,,5,0,2,0,0.0,181.0,0.0,32.74249166666667
ENSG00000162494,LRRC38,chr1,13474973,13514003,-1,1,0,0.93,49,2,46,0,0.0,33.0,0.0,24.4326925
ENSG00000162493,PDPN,chr1,13583465,13617957,1,1,0,0.73,42,3,36,1,0.0,759.0,0.0,-0.4884504722222221
ENSG00000116731,PRDM2,chr1,13700188,13825079,1,2,0,1.155,167,3,157,0,0.0,371.0,0.0,43.92975158730158
ENSG00000189337,KAZN,chr1,13892792,15118043,1,6,0,0.925,1341,9,1002,61,0.0,101.0,0.0,51.54135028524857
ENSG00000171729,TMEM51,chr1,15152498,15220484,1,2,0,0.81,122,4,113,1,0.0,72.0,0.0,63.12316231884059
ENSG00000142621,FHAD1,chr1,15236521,15400283,1,1,0,0.92,235,4,179,11,0.0,64.0,0.0,61.75923719512194
ENSG00000142634,EFHD2,chr1,15409849,15430339,1,1,0,0.87,52,1,51,0,0.0,275.0,0.0,60.42911428571429
ENSG00000162438,CTRC,chr1,15438442,15449242,1,0,27710,,18,1,17,0,0.0,85.0,0.0,61.050175
ENSG00000142615,CELA2A,chr1,15456728,15472091,1,0,45996,,25,1,24,0,0.0,150.0,0.0,61.8909
ENSG00000215704,CELA2B,chr1,15465909,15491395,1,0,32708,,33,0,29,0,0.0,121.0,0.0,62.558838461538464
ENSG00000132906,CASP9,chr1,15490832,15526534,-1,1,0,1.06,48,2,38,2,0.0,641.0,0.0,64.14867297297297
ENSG00000116138,DNAJC16,chr1,15526813,15592379,1,2,0,0.87,61,2,50,0,0.0,36.0,0.0,66.66939545454547
ENSG00000116771,AGMAT,chr1,15571699,15585078,-1,1,0,0.87,19,1,17,0,0.0,84.0,0.0,67.53015714285713
ENSG00000197312,DDI2,chr1,15617458,15669044,1,1,0,1.25,55,1,50,0,0.0,42.0,0.0,69.67967547169812
ENSG00000215695,RSC1A1,chr1,15659713,15662033,1,0,22050,,3,0,3,0,0.0,18.0,0.0,70.21933333333334
ENSG00000116786,PLEKHM2,chr1,15681461,15734769,1,3,0,0.7367,83,4,78,0,0.0,156.0,0.0,71.81483818181819
ENSG00000162461,SLC25A34,chr1,15736176,15741392,1,0,2741,,13,2,10,0,0.0,28.0,0.0,73.00481666666667
ENSG00000162460,TMEM82,chr1,15742499,15747982,1,2,0,0.62,10,1,7,0,0.0,14.0,0.0,73.29758333333332
ENSG00000162458,FBLIM1,chr1,15756604,15786594,1,1,0,0.86,43,5,38,0,0.0,314.0,0.0,74.4056193548387
ENSG00000233954,UQCRHL,chr1,15807169,15809348,-1,0,25417,,3,0,3,0,0.0,14.0,0.0,75.79936666666667
ENSG00000065526,SPEN,chr1,15836095,15940456,1,5,0,0.982,138,3,113,1,5.0,326.0,1.0,78.0802619047619
ENSG00000116809,ZBTB17,chr1,15940403,15976132,-1,3,0,0.77,78,1,73,0,0.0,102.0,0.0,79.92031081081082
ENSG00000183888,SRARP,chr1,16004236,16008807,1,0,28059,,7,2,3,1,0.0,54.0,0.0,81.16133333333333
