patient_id,nearest_gene_name,chrom,last_tp_abundance,growth_rate,n_timepoints,label_raw,label,dist_to_nearest_tss,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,patient_id_enc,ext_n_patients,ext_n_datasets,ext_n_unique_sites,ext_max_abundance,chrom_int
P11,NPPB,chr1,425.0,0.19622873410598976,2,6.054439346269371,0.9968835930339138,1424,594996.0,1512,1,0,82,,4,1,3,0,0.0,1194.0,0,2,53.0,2.0,332.0,0.0,0
P11,DHRS3,chr1,237.0,0.1578373943719623,4,5.472270673671475,0.9356553620531622,192912,1164665.0,52224,1,2,0,0.865,100,4,86,1,0.0,114.0,0,2,59.0,2.0,913.0,0.0,0
P11,KAZN,chr1,250.0,-0.08611336237627559,10,5.5254529391317835,0.9439963336388635,38178,1981481.0,1225251,1,6,0,0.925,1341,9,1002,61,0.0,101.0,0,2,59.0,2.0,1059.0,0.0,0
P11,ZBTB17,chr1,142.0,0.2042589370702153,3,4.962844630259907,0.7899175068744271,69068,70969.0,35729,1,3,0,0.77,78,1,73,0,0.0,102.0,0,2,56.0,2.0,582.0,0.0,0
P11,EPHA2,chr1,37.0,0.18482023775476855,3,3.6375861597263857,0.27250229147571037,5073,314901.0,31732,0,3,0,0.83,74,2,71,0,0.0,552.0,0,2,50.0,1.0,373.0,0.0,0
P11,CPLANE2,chr1,121.0,0.03283674774255355,7,4.804021044733257,0.7427131072410632,11880,389208.0,5491,0,1,0,1.06,9,1,8,0,0.0,140.0,0,2,59.0,2.0,1373.0,0.0,0
P11,NBPF1,chr1,109.0,0.10952805279643901,10,4.700480365792417,0.7050412465627864,65862,711605.0,51243,1,1,0,0.91,40,1,31,3,0.0,109.0,0,2,59.0,2.0,1469.0,0.0,0
P11,ACTL8,chr1,67.0,0.1462725825893571,2,4.219507705176107,0.4902841429880843,105988,981501.0,71730,0,1,0,0.68,66,1,36,6,0.0,61.0,0,2,54.0,2.0,462.0,0.0,0
P11,MICOS10,chr1,78.0,0.16313827748323942,3,4.3694478524670215,0.5609532538955087,81800,771757.0,145418,0,2,0,0.86,165,6,131,4,0.0,36.0,0,2,58.0,2.0,708.0,0.0,0
P11,TMCO4,chr1,45.0,0.15732721219430618,3,3.828641396489095,0.33510540788267645,65584,1104070.0,118293,1,1,0,0.79,151,3,123,4,0.0,37.0,0,2,53.0,2.0,546.0,0.0,0
P11,PLA2G2E,chr1,121.0,0.16300929022661703,2,4.804021044733257,0.7427131072410632,8162,1284609.0,3608,0,0,37040,,8,0,8,0,0.0,42.0,0,2,56.0,2.0,461.0,0.0,0
P11,EIF4G3,chr1,67.0,-0.15577984778766082,11,4.219507705176107,0.4902841429880843,194478,2351961.0,370993,0,1,0,0.95,322,3,262,11,0.0,208.0,0,2,59.0,2.0,2905.0,0.0,0
P11,ECE1,chr1,102.0,0.1538055638765147,21,4.634728988229636,0.6776351970669111,82521,2632205.0,128325,0,3,0,0.9067,256,5,242,2,0.0,312.0,0,2,58.0,2.0,4015.0,0.0,0
P11,NBPF3,chr1,102.0,-0.11881811747086808,6,4.634728988229636,0.6776351970669111,47208,2762045.0,44906,1,2,0,0.84,35,1,24,1,0.0,113.0,0,2,58.0,2.0,2377.0,0.0,0
P11,ZBTB40,chr1,220.0,0.1725000092483133,7,5.3981627015177525,0.9161319890009166,124433,3673559.0,102319,1,1,0,0.91,119,1,98,2,0.0,89.0,0,2,57.0,2.0,768.0,0.0,0
P11,RPL11,chr1,117.0,0.17588719802366756,7,4.770684624465665,0.7319890009165902,65613,3067164.0,5150,0,1,0,0.79,13,2,11,0,0.0,135.0,0,2,56.0,2.0,1085.0,0.0,0
P11,MYOM3,chr1,69.0,0.07885791548434164,5,4.248495242049359,0.5035747021081577,63954,2645000.0,56155,1,0,74860,,70,1,62,3,0.0,55.0,0,2,52.0,2.0,248.0,0.0,0
P11,IFNLR1,chr1,72.0,0.11956321171474757,5,4.290459441148391,0.5247479376718607,20066,2525343.0,33791,1,1,0,0.89,36,1,31,1,0.0,169.0,0,2,50.0,1.0,255.0,0.0,0
P11,GRHL3,chr1,78.0,0.14267383680358744,7,4.3694478524670215,0.5609532538955087,5028,2498706.0,164924,0,1,0,0.81,207,10,161,13,0.0,284.0,0,2,56.0,2.0,734.0,0.0,0
P11,CLIC4,chr1,39.0,0.18357036250023068,3,3.6888794541139363,0.28771769019248394,39334,1987228.0,98979,1,1,0,0.98,102,0,89,1,0.0,310.0,0,2,57.0,2.0,1006.0,0.0,0
P11,SYF2,chr1,166.0,0.06532398534642528,17,5.117993812416755,0.8372135655362053,133272,1594004.0,10228,0,1,0,0.79,7,1,3,0,0.0,74.0,0,2,58.0,2.0,2186.0,0.0,0
P11,RHD,chr1,205.0,0.25142750194781444,3,5.327876168789581,0.8964252978918423,10044,1430887.0,58052,1,0,4397,,45,1,30,4,0.0,494.0,0,2,44.0,2.0,177.0,0.0,0
P11,LDLRAP1,chr1,16.0,0.0,1,2.833213344056216,0.09349220898258478,51954,1201617.0,47627,0,1,0,0.84,102,1,98,1,0.0,147.0,0,2,44.0,2.0,202.0,0.0,0
P11,SELENON,chr1,202.0,0.16648702203945953,8,5.313205979041787,0.8919340054995417,74311,967354.0,18028,0,1,0,0.84,36,1,32,0,0.0,579.0,0,2,56.0,2.0,2306.0,0.0,0
P11,SH3BGRL3,chr1,8.0,0.14898928049801533,2,2.1972245773362196,0.015215398716773602,14984,428163.0,1465,1,1,0,0.93,6,1,5,0,0.0,71.0,0,2,42.0,2.0,146.0,0.0,0
P11,DHDDS,chr1,109.0,0.16672655220090213,4,4.700480365792417,0.7050412465627864,7767,253187.0,39040,1,1,0,0.84,29,2,23,0,0.0,457.0,0,2,58.0,2.0,698.0,0.0,0
P11,RPS6KA1,chr1,62.0,0.15579534698356717,3,4.143134726391533,0.4552703941338222,6770,156710.0,45274,1,1,0,1.05,68,5,61,0,0.0,302.0,0,2,58.0,2.0,1095.0,0.0,0
P11,ARID1A,chr1,75.0,0.21101061122629394,2,4.330733340286331,0.5436296975252062,79257,79257.0,88868,1,1,0,1.01,126,6,112,0,5.0,784.0,1,2,57.0,2.0,699.0,0.0,0
P11,PIGV,chr1,31.0,0.12342199577946943,2,3.4657359027997265,0.22410632447296058,27622,66196.0,13605,1,1,0,0.83,25,6,17,0,0.0,125.0,0,2,55.0,2.0,480.0,0.0,0
P11,GPN2,chr1,125.0,0.15851813810815119,2,4.836281906951478,0.7544454628780934,11376,185671.0,14151,1,1,0,0.99,14,1,13,0,0.0,19.0,0,2,43.0,2.0,128.0,0.0,0
P11,NR0B2,chr1,35.0,-0.33378873413992005,4,3.58351893845611,0.2559120073327223,351,221090.0,2486,0,0,7582,,6,1,5,0,0.0,605.0,0,2,21.0,2.0,49.0,0.0,0
P11,TENT5B,chr1,110.0,-0.13818779242615412,19,4.709530201312334,0.708890925756187,6054,313560.0,7830,0,2,0,0.875,21,2,19,0,0.0,87.0,0,2,57.0,2.0,1850.0,0.0,0
P11,SLC9A1,chr1,116.0,0.16342820880633288,4,4.762173934797756,0.7286892758936755,76243,397502.0,68172,1,1,0,1.14,122,2,116,0,0.0,611.0,0,2,57.0,2.0,556.0,0.0,0
P11,WDTC1,chr1,36.0,0.15379640977255826,2,3.6109179126442243,0.26379468377635196,32451,508089.0,74935,0,1,0,0.84,76,2,69,2,0.0,159.0,0,2,56.0,2.0,372.0,0.0,0
P11,AHDC1,chr1,135.0,-0.3704257667906365,7,4.912654885736052,0.7765352887259395,55763,855432.0,70396,0,5,0,0.796,162,2,158,0,0.0,94.0,0,2,55.0,2.0,1126.0,0.0,0
P11,STX12,chr1,82.0,-0.13594756211662595,12,4.418840607796598,0.5824931255728689,23141,1056818.0,51248,0,1,0,0.79,46,2,38,1,0.0,39.0,0,2,58.0,2.0,2455.0,0.0,0
P11,EYA3,chr1,200.0,0.15130588375760842,6,5.303304908059076,0.8894592117323556,51999,1343496.0,118387,0,1,0,1.03,111,2,94,5,0.0,109.0,0,2,58.0,2.0,1408.0,0.0,0
P11,PHACTR4,chr1,194.0,-0.13011080694222543,16,5.272999558563747,0.8823098075160404,19846,1656481.0,130801,1,1,0,0.74,115,3,92,2,0.0,123.0,0,2,59.0,2.0,3647.0,0.0,0
P11,YTHDF2,chr1,147.0,-0.03758362678381986,11,4.997212273764115,0.8001833180568286,30998,2012387.0,33163,1,1,0,0.97,47,4,30,1,0.0,469.0,0,2,58.0,2.0,2091.0,0.0,0
P11,EPB41,chr1,66.0,0.15401913679599016,3,4.204692619390966,0.4842346471127406,33701,2160154.0,232955,0,2,0,0.895,211,2,179,1,0.0,591.0,0,2,55.0,2.0,567.0,0.0,0
P11,PTPRU,chr1,190.0,0.1670260395353986,9,5.25227342804663,0.8765352887259396,2277,2540992.0,90308,0,3,0,0.87,134,2,92,10,0.0,446.0,0,2,56.0,2.0,2601.0,0.0,0
P11,SERINC2,chr1,77.0,0.057566089578228515,6,4.356708826689592,0.5549954170485792,4082,837597.0,25115,0,1,0,0.91,49,3,41,0,0.0,84.0,0,2,59.0,2.0,1380.0,0.0,0
P11,TINAGL1,chr1,13.0,0.17456137226147142,4,2.6390573296152584,0.06526122823098075,83009,757768.0,11204,0,1,0,0.93,29,3,26,0,0.0,67.0,0,2,49.0,2.0,312.0,0.0,0
P11,ADGRB2,chr1,41.0,0.14786560105447483,2,3.7376696182833684,0.30320806599450045,30045,516396.0,37776,0,2,0,0.785,79,3,76,0,0.0,80.0,0,2,52.0,2.0,285.0,0.0,0
P11,ZBTB8A,chr1,92.0,0.0,1,4.532599493153256,0.6322639780018332,35157,252741.0,66799,1,1,0,1.11,39,1,16,6,0.0,19.0,0,2,56.0,2.0,611.0,0.0,0
P11,RNF19B,chr1,99.0,0.002527273689800843,5,4.605170185988092,0.6642529789184235,3569,710102.0,35879,0,1,0,1.2,60,2,56,1,0.0,89.0,0,2,55.0,2.0,380.0,0.0,0
P11,AK2,chr1,112.0,-0.184408091963954,6,4.727387818712341,0.7161319890009166,57457,772295.0,73010,1,3,0,0.9067,99,4,84,0,0.0,115.0,0,2,56.0,2.0,999.0,0.0,0
P11,AZIN2,chr1,58.0,0.0,1,4.07753744390572,0.42538955087076075,5362,835222.0,42388,0,1,0,0.73,47,2,40,2,0.0,115.0,0,2,51.0,2.0,394.0,0.0,0
P11,A3GALT2,chr1,60.0,0.15284619932305793,7,4.110873864173311,0.44023831347387715,32289,1037565.0,14332,0,1,0,0.98,32,1,9,4,0.0,29.0,0,2,54.0,2.0,686.0,0.0,0
P11,NCDN,chr1,94.0,0.16497897570973302,4,4.553876891600541,0.641704857928506,110513,253497.0,9818,1,1,0,0.78,27,2,25,0,0.0,94.0,0,2,59.0,2.0,1363.0,0.0,0
P11,AGO4,chr1,171.0,0.16097749574912726,7,5.147494476813453,0.8462878093492209,18238,596332.0,49874,1,1,0,1.25,36,1,32,0,0.0,168.0,0,2,59.0,2.0,1496.0,0.0,0
P11,AGO1,chr1,74.0,0.16885824417800746,7,4.31748811353631,0.5379468377635197,30574,644088.0,60724,1,2,0,0.705,55,2,46,3,0.0,175.0,0,2,58.0,2.0,1013.0,0.0,0
P11,ADPRS,chr1,61.0,0.0,1,4.127134385045092,0.4477543538038497,529,394973.0,5054,0,1,0,1.03,12,1,11,0,,,0,2,39.0,2.0,109.0,0.0,0
P11,LSM10,chr1,243.0,0.14678633505684405,5,5.497168225293202,0.9397800183318057,657,84720.0,6707,1,1,0,0.96,9,1,8,0,0.0,36.0,0,2,53.0,2.0,608.0,0.0,0
P11,CSF3R,chr1,175.0,0.1621981824301535,9,5.170483995038151,0.8553620531622365,9219,9219.0,17653,0,0,1139,,37,3,29,0,3.0,571.0,1,2,55.0,2.0,1706.0,0.0,0
P11,HPCAL4,chr1,25.0,0.1743042256829945,2,3.258096538021482,0.18084326306141155,8769,3199394.0,12837,0,2,0,0.75,23,1,22,0,0.0,55.0,0,2,44.0,1.0,149.0,0.0,0
P11,OXCT2,chr1,173.0,0.15870332451267716,2,5.159055299214529,0.8501374885426215,39244,3248782.0,1825,1,1,0,0.84,3,1,0,0,0.0,21.0,0,2,54.0,2.0,762.0,0.0,0
P11,BMP8B,chr1,105.0,0.17816283089423673,3,4.663439094112067,0.69019248395967,8267,3297276.0,31683,0,2,0,0.96,37,2,17,3,0.0,201.0,0,2,52.0,2.0,388.0,0.0,0
P11,MYCL,chr1,66.0,0.0,1,4.204692619390966,0.4842346471127406,9216,3409718.0,6828,0,1,0,0.91,18,1,17,0,0.0,259.0,0,2,51.0,1.0,333.0,0.0,0
P11,COL9A2,chr1,199.0,0.00508304721080628,4,5.298317366548036,0.8881759853345554,13129,3033124.0,17326,0,4,0,0.7525,41,1,39,0,0.0,266.0,0,2,54.0,2.0,276.0,0.0,0
P11,NFYC,chr1,91.0,0.0,1,4.5217885770490405,0.6277726856095326,9055,2655293.0,80036,0,1,0,0.92,106,5,97,0,0.0,82.0,0,2,58.0,2.0,566.0,0.0,0
P11,SCMH1,chr1,55.0,0.15516148500099805,2,4.02535169073515,0.40504124656278645,88583,2184085.0,215104,0,1,0,0.9,157,2,109,7,0.0,221.0,0,2,56.0,2.0,705.0,0.0,0
P11,FOXJ3,chr1,19.0,-0.3834047627148908,6,2.995732273553991,0.12438130155820348,85404,1087299.0,159378,0,1,0,0.91,145,4,124,0,0.0,140.0,0,2,53.0,2.0,440.0,0.0,0
P11,CCDC30,chr1,15.0,0.18085440159678398,2,2.772588722239781,0.08331805682859762,790,875377.0,193969,1,1,0,0.93,91,2,38,14,0.0,36.0,0,2,53.0,2.0,281.0,0.0,0
P11,PPIH,chr1,234.0,-0.2901796759966563,3,5.459585514144159,0.9315307057745188,33019,712642.0,18573,1,1,0,0.84,15,3,12,0,0.0,59.0,0,2,52.0,2.0,333.0,0.0,0
P11,CLDN19,chr1,182.0,-0.14765410021782152,8,5.209486152841421,0.8656278643446379,27517,625071.0,7161,1,1,0,0.67,15,1,12,0,0.0,155.0,0,2,55.0,2.0,1029.0,0.0,0
P11,CFAP144,chr1,162.0,0.17211513434159303,2,5.093750200806762,0.8294225481209899,89558,282213.0,11243,1,1,0,0.84,10,2,5,1,0.0,32.0,0,2,51.0,2.0,407.0,0.0,0
P11,ST3GAL3,chr1,94.0,0.16205892680037648,12,4.553876891600541,0.641704857928506,24362,343654.0,225343,0,1,0,1.11,257,6,224,5,0.0,130.0,0,2,58.0,2.0,1605.0,0.0,0
P11,ARTN,chr1,46.0,-0.44721304808821594,5,3.8501476017100584,0.3415215398716774,109697,485815.0,3924,1,2,0,0.755,12,7,5,0,0.0,468.0,0,2,56.0,2.0,808.0,0.0,0
P11,IPO13,chr1,38.0,0.0,1,3.6635616461296463,0.28038496791934003,4516,604506.0,21194,0,1,0,0.85,31,1,29,0,0.0,64.0,0,2,35.0,2.0,63.0,0.0,0
P11,KLF18,chr1,93.0,0.002150515352661072,4,4.543294782270004,0.6368469294225482,10535,793288.0,3810,0,0,34094,,1,0,0,0,0.0,2.0,0,2,47.0,2.0,204.0,0.0,0
P11,DMAP1,chr1,124.0,-0.33655678621729734,12,4.8283137373023015,0.7518790100824931,35416,840203.0,7254,1,1,0,0.74,12,2,9,0,0.0,45.0,0,2,57.0,2.0,1360.0,0.0,0
P11,ERI3,chr1,95.0,0.18307376500209097,4,4.564348191467836,0.6462878093492209,69894,947565.0,134197,0,1,0,0.94,201,2,176,2,0.0,31.0,0,2,54.0,2.0,913.0,0.0,0
P11,TMEM53,chr1,25.0,-0.13550690538887136,4,3.258096538021482,0.18084326306141155,133590,800002.0,39243,0,2,0,0.705,66,1,61,2,0.0,277.0,0,2,45.0,2.0,133.0,0.0,0
P11,RPS8,chr1,100.0,0.026050158697125753,4,4.61512051684126,0.6681943171402384,3521,569163.0,3528,0,1,0,0.9,10,6,4,0,0.0,72.0,0,2,17.0,2.0,25.0,0.0,0
P11,PTCH2,chr1,146.0,0.15530666561175,2,4.990432586778736,0.7967919340054995,2691,500331.0,24099,1,1,0,0.81,48,5,41,0,0.0,366.0,0,2,56.0,2.0,609.0,0.0,0
P11,EIF2B3,chr1,214.0,0.0,1,5.3706380281276624,0.9095325389550871,71417,425588.0,136200,1,1,0,0.81,89,1,69,5,0.0,195.0,0,2,57.0,2.0,531.0,0.0,0
P11,MUTYH,chr1,170.0,0.15740301177614,4,5.14166355650266,0.844179651695692,225,225.0,11730,0,1,0,1.1,20,3,16,0,7.0,445.0,1,2,58.0,2.0,916.0,0.0,0
P11,CCDC17,chr1,109.0,0.1849454573886409,2,4.700480365792417,0.7050412465627864,18359,264806.0,4014,1,1,0,0.8,13,0,13,0,0.0,28.0,0,2,57.0,2.0,548.0,0.0,0
P11,MAST2,chr1,87.0,0.16365733411148276,5,4.477336814478207,0.6110907424381301,16533,429561.0,249241,1,1,0,1.08,222,3,193,2,0.0,122.0,0,2,59.0,2.0,1776.0,0.0,0
P11,PIK3R3,chr1,43.0,0.17385079308886858,5,3.784189633918261,0.31943171402383136,159085,633360.0,93198,1,1,0,0.82,82,3,65,2,0.0,409.0,0,2,57.0,2.0,1558.0,0.0,0
P11,TMEM275,chr1,35.0,-0.1562642450404734,3,3.58351893845611,0.2559120073327223,16670,1187003.0,12400,0,2,0,0.91,22,1,10,5,0.0,3.0,0,2,43.0,1.0,119.0,0.0,0
P11,BEND5,chr1,362.0,0.5054139657628336,6,5.8944028342648505,0.9912923923006416,130138,2313914.0,49450,1,1,0,0.84,55,1,48,1,0.0,62.0,0,2,55.0,2.0,692.0,0.0,0
P11,CDKN2C,chr1,49.0,0.010259763879451106,3,3.912023005428146,0.3645279560036664,3192,3192.0,13889,0,1,0,0.89,29,3,23,1,2.0,430.0,1,2,43.0,2.0,142.0,0.0,0
P11,C1orf185,chr1,38.0,0.0,1,3.6635616461296463,0.28038496791934003,70053,71423.0,45865,1,0,88009,,21,0,7,2,0.0,25.0,0,2,50.0,2.0,464.0,0.0,0
P11,TTC39A,chr1,70.0,-0.12911090401755343,2,4.2626798770413155,0.510724106324473,53925,228196.0,57858,0,2,0,0.895,97,8,72,2,0.0,89.0,0,2,54.0,2.0,323.0,0.0,0
P11,NRDC,chr1,73.0,0.0,1,4.30406509320417,0.531897341888176,146035,213383.0,91288,0,1,0,1.0,84,4,65,1,0.0,119.0,0,2,58.0,2.0,1028.0,0.0,0
P11,RAB3B,chr1,45.0,-0.04405157059559138,3,3.828641396489095,0.33510540788267645,55773,415540.0,82744,0,1,0,0.89,98,1,84,3,0.0,100.0,0,2,51.0,1.0,539.0,0.0,0
P11,SCP2,chr1,70.0,0.14329056708740923,3,4.2626798770413155,0.510724106324473,3441,1411330.0,124422,1,1,0,0.73,87,2,66,5,0.0,244.0,0,2,55.0,2.0,1127.0,0.0,0
P11,ACOT11,chr1,66.0,0.1610625827876898,6,4.204692619390966,0.4842346471127406,53013,2969857.0,96935,0,1,0,0.71,140,2,128,0,0.0,85.0,0,2,56.0,2.0,757.0,0.0,0
P11,PARS2,chr1,25.0,0.0,1,3.258096538021482,0.18084326306141155,16417,3228742.0,7952,0,1,0,0.97,9,1,7,0,0.0,70.0,0,2,21.0,2.0,32.0,0.0,0
P11,USP24,chr1,87.0,0.15896346419391097,9,4.477336814478207,0.6110907424381301,29818,3666548.0,149394,1,1,0,1.0,139,1,124,2,0.0,193.0,0,2,59.0,2.0,1425.0,0.0,0
P11,TM2D1,chr1,251.0,-0.18791978694834496,15,5.529429087511423,0.9447296058661778,371166,3713497.0,51787,0,1,0,0.87,40,2,25,5,0.0,149.0,0,2,58.0,2.0,1770.0,0.0,0
P11,PATJ,chr1,151.0,-0.0841166605617288,4,5.0238805208462765,0.8106324472960587,2893,3328170.0,436198,1,1,0,0.88,300,3,208,26,0.0,186.0,0,2,58.0,2.0,663.0,0.0,0
P11,ROR1,chr1,38.0,0.0,1,3.6635616461296463,0.28038496791934003,61453,1355190.0,407481,1,1,0,0.91,469,2,433,11,0.0,294.0,0,2,53.0,2.0,408.0,0.0,0
P11,SLC35D1,chr1,83.0,-0.12977937822274863,5,4.430816798843313,0.5891842346471128,53641,1932764.0,54809,0,1,0,0.83,46,1,42,1,0.0,179.0,0,2,46.0,2.0,209.0,0.0,0
P11,SERBP1,chr1,141.0,-0.19470907066014922,6,4.955827057601261,0.7881759853345555,59796,2302865.0,22605,0,1,0,0.83,32,3,22,1,0.0,121.0,0,2,56.0,2.0,762.0,0.0,0
P11,CTH,chr1,49.0,-0.2674579141814203,6,3.912023005428146,0.3645279560036664,49201,5387641.0,36577,0,1,0,0.91,41,2,34,1,0.0,617.0,0,2,56.0,2.0,608.0,0.0,0
P11,PTGER3,chr1,36.0,0.19578436396419113,2,3.6109179126442243,0.26379468377635196,320246,5659816.0,195463,1,1,0,0.81,160,1,120,8,0.0,350.0,0,2,53.0,2.0,488.0,0.0,0
P11,NEGR1,chr1,294.0,-0.2325582240667935,26,5.68697535633982,0.9748854262144822,532157,6229145.0,886596,0,0,787,,539,3,280,75,0.0,189.0,0,2,58.0,2.0,3088.0,0.0,0
P11,LHX8,chr1,73.0,0.1741937137369708,4,4.30406509320417,0.531897341888176,154690,3005783.0,33099,0,4,0,0.845,41,5,33,1,0.0,159.0,0,2,54.0,2.0,282.0,0.0,0
P11,ST6GALNAC5,chr1,62.0,-0.14194100678374677,7,4.143134726391533,0.4552703941338222,384383,1496463.0,200099,1,1,0,0.77,157,1,111,9,0.0,72.0,0,2,54.0,2.0,424.0,0.0,0
P11,GIPC2,chr1,90.0,0.10771841656329482,2,4.51085950651685,0.6235563703024748,48825,48840.0,158906,0,2,0,1.1,153,7,122,4,0.0,82.0,0,2,56.0,2.0,405.0,0.0,0
P11,PTGFR,chr1,397.0,-0.013086156932689828,4,5.986452005284438,0.9952337305224565,159220,165137.0,236817,0,1,0,0.8,144,2,88,13,0.0,224.0,0,2,54.0,2.0,660.0,0.0,0
P11,ADGRL2,chr1,136.0,-0.0906323350870046,15,4.919980925828125,0.7784601283226398,860258,2466327.0,687828,1,1,0,0.86,550,7,398,33,0.0,179.0,0,2,57.0,2.0,1163.0,0.0,0
P11,TTLL7,chr1,278.0,0.13933202268221573,8,5.631211781821365,0.9649862511457379,1340359,2617827.0,134140,0,1,0,0.78,96,2,85,2,0.0,73.0,0,2,55.0,2.0,755.0,0.0,0
P11,SAMD13,chr1,111.0,0.17279971466427468,3,4.718498871295094,0.7127406049495876,107676,1085942.0,91591,1,1,0,0.81,95,4,76,5,0.0,44.0,0,2,42.0,2.0,128.0,0.0,0
P11,DNASE2B,chr1,17.0,0.0,1,2.8903717578961645,0.10467461044912924,26981,905129.0,16534,1,0,64231,,22,1,14,1,0.0,133.0,0,2,46.0,2.0,138.0,0.0,0
P11,CTBS,chr1,176.0,0.0,1,5.176149732573829,0.8572868927589368,25899,728051.0,24869,0,1,0,1.09,25,2,12,3,0.0,322.0,0,2,53.0,2.0,247.0,0.0,0
P11,SSX2IP,chr1,152.0,-0.1368123191968973,8,5.030437921392435,0.8123739688359304,58100,643777.0,47249,0,1,0,0.96,33,2,20,6,0.0,73.0,0,2,54.0,2.0,955.0,0.0,0
P11,COL24A1,chr1,214.0,0.16004324154663496,3,5.3706380281276624,0.9095325389550871,195132,685179.0,427710,1,2,0,0.765,224,1,108,40,0.0,112.0,0,2,57.0,2.0,364.0,0.0,0
P11,CLCA2,chr1,27.0,-0.4984480507350485,6,3.332204510175204,0.19679193400549955,9106,1138433.0,32382,1,0,27771,,30,1,21,2,0.0,209.0,0,2,47.0,2.0,269.0,0.0,0
